OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
369852,Congenital neutropenia-myelofibrosis-nephromegaly syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
369861,Congenital sideroblastic anemia-B-cell immunodeficiency-periodic fever-developmental delay syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
369867,Autosomal recessive intermediate Charcot-Marie-Tooth disease type C,"Adult, All ages, Childhood",Autosomal recessive,2,7
369873,Obesity due to SIM1 deficiency,"Infancy, Neonatal",Autosomal recessive,1,12
369881,2p21 microdeletion syndrome without cystinuria,"Infancy, Neonatal",Autosomal recessive,1,2
369886,Homozygous 2p21 microdeletion syndrome,Unknown,Not applicable,3,9
369891,Developmental delay-facial dysmorphism syndrome due to MED13L deficiency,"Infancy, Neonatal",Autosomal dominant,2,1
369897,"Mitochondrial DNA depletion syndrome, encephalomyopathic form with variable craniofacial anomalies","Infancy, Neonatal",Autosomal recessive,1,2
369913,Combined oxidative phosphorylation defect type 17,"Infancy, Neonatal",Autosomal recessive,1,2
364063,Infantile epileptic-dyskinetic encephalopathy,"Infancy, Neonatal",X-linked recessive,2,8
364055,Severe early-childhood-onset retinal dystrophy,"Childhood, Infancy",Autosomal recessive,2,12
364039,Hydroa vacciniforme-like lymphoma,"Adult, Childhood",Not applicable,2,14
364043,ALK-positive large B-cell lymphoma,Unknown,"Multigenic/multifactorial, Not applicable",3,9
364028,X-linked intellectual disability due to GRIA3 mutations,Infancy,X-linked recessive,2,7
364033,Systemic Epstein-Barr virus-positive T-cell lymphoproliferative disease of childhood,Childhood,Not applicable,2,14
772,Infantile Refsum disease,All ages,Autosomal recessive,3,4
1194,TMEM70-related mitochondrial encephalo-cardio-myopathy,"Infancy, Neonatal",Autosomal recessive,1,12
363999,Non-immune hydrops fetalis,"Antenatal, Neonatal",Not applicable,3,8
1048,Isolated anencephaly/exencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,1
364013,Immune hydrops fetalis,"Antenatal, Neonatal",Not applicable,3,8
363989,Familial benign flecked retina,"Adult, Childhood",Autosomal recessive,2,7
823,Spina bifida and other spinal dysraphisms,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,8
363992,Ichthyosis-short stature-brachydactyly-microspherophakia syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
363976,Giant cell tumor of bone,Adult,Not applicable,3,5
363981,Charcot-Marie-Tooth disease type 4B3,Childhood,Autosomal recessive,2,7
363969,Autosomal recessive cerebral atrophy,"Infancy, Neonatal",Autosomal recessive,1,2
363972,Noonan syndrome-like disorder with juvenile myelomonocytic leukemia,"Infancy, Neonatal",Autosomal dominant,2,8
363965,Koolen-De Vries syndrome due to a point mutation,"Infancy, Neonatal",Autosomal dominant,2,1
363958,17q21.31 microdeletion syndrome,"Infancy, Neonatal",Autosomal dominant,2,8
363746,Balint syndrome,All ages,Not applicable,3,10
363741,Colobomatous microphthalmia-obesity-hypogenitalism-intellectual disability syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
363727,X-linked dyserythropoietic anemia with abnormal platelets and neutropenia,All ages,X-linked recessive,3,0
363722,Alexander disease type II,"Adolescent, Adult, Childhood",Autosomal dominant,2,1
363717,Alexander disease type I,"Infancy, Neonatal",Not applicable,2,8
363710,Spinocerebellar ataxia type 37,Adult,Autosomal dominant,3,13
363705,Craniofaciofrontodigital syndrome,Neonatal,Unknown,3,14
363700,Neurofibromatosis type 1 due to NF1 mutation or intragenic deletion,"Infancy, Neonatal",Autosomal dominant,2,8
363694,Hyperuricemia-pulmonary hypertension-renal failure-alkalosis syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
363686,Severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
363680,2p13.2 microdeletion syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
363677,Childhood-onset autosomal recessive myopathy with external ophthalmoplegia,Childhood,Autosomal recessive,2,7
364577,Intellectual disability-brachydactyly-Pierre Robin syndrome,Neonatal,Unknown,3,14
364198,Bipartite talus,"Adolescent, Adult",Not applicable,3,5
363417,Temtamy preaxial brachydactyly syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
363409,Fetal akinesia-cerebral and retinal hemorrhage syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
363412,Hypomyelination with brain stem and spinal cord involvement and leg spasticity,"Adolescent, Infancy, Neonatal",Autosomal recessive,1,2
363429,Autosomal recessive cerebellar ataxia-pyramidal signs-nystagmus-oculomotor apraxia syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
363432,Autosomal recessive congenital cerebellar ataxia due to GRID2 deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
363424,Multiple mitochondrial dysfunctions syndrome type 3,"Infancy, Neonatal",Autosomal recessive,1,2
363396,High myopia-sensorineural deafness syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
363400,Progressive encephalopathy-severe neurodegeneration-lipodystrophy syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
363618,LMNA-related cardiocutaneous progeria syndrome,Childhood,Autosomal dominant,2,7
363623,GMPPB-related limb-girdle muscular dystrophy R19,"Childhood, Infancy, Neonatal",Autosomal recessive,1,2
363649,Mandibular hypoplasia-deafness-progeroid features-lipodystrophy syndrome,Childhood,Autosomal dominant,2,7
363654,X-linked parkinsonism-spasticity syndrome,"Adolescent, Adult",X-linked recessive,3,4
363659,20q11.2 microduplication syndrome,"Infancy, Neonatal",Unknown,2,8
363665,Acroosteolysis-keloid-like lesions-premature aging syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
363540,Leukoencephalopathy with mild cerebellar ataxia and white matter edema,All ages,Autosomal recessive,3,0
363549,Acute encephalopathy with biphasic seizures and late reduced diffusion,"Infancy, Neonatal",Unknown,2,14
363558,New-onset refractory status epilepticus,Adult,Unknown,3,6
363567,Acute encephalopathy with inflammation-mediated status epilepticus,All ages,Unknown,3,6
363611,CTCF-related neurodevelopmental disorder,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2,1
363494,Non-seminomatous germ cell tumor of testis,Adult,Not applicable,3,10
363523,Hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
363534,"Mitochondrial DNA depletion syndrome, hepatocerebrorenal form","Infancy, Neonatal",Autosomal recessive,1,2
363528,Intellectual disability-strabismus syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
363444,THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
363454,BICD2-related autosomal dominant childhood-onset proximal spinal muscular atrophy,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2,1
363447,Autosomal dominant childhood-onset proximal spinal muscular atrophy,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2,1
363478,Paratesticular adenocarcinoma,Adult,Unknown,3,0
363489,Sex cord-stromal tumor of testis,"Adolescent, Adult",Unknown,3,6
363483,Testicular teratoma,"Adolescent, Adult, Childhood, Infancy",Unknown,2,14
357175,Short ulna-dysmorphism-hypotonia-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
357329,Combined immunodeficiency due to IL21R deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
