OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
295044,Macrodactyly of fingers,"Infancy, Neonatal",Unknown,2,8
295047,Macrodactyly of toes,"Infancy, Neonatal",Unknown,2,8
295036,Congenital patella dislocation,"Infancy, Neonatal",Unknown,2,14
295000,Amniotic band syndrome,"Antenatal, Neonatal",Unknown,3,8
294975,Isolated absence of upper arm and forearm with hand present,"Infancy, Neonatal",Unknown,2,14
294963,Popliteal pterygium syndrome,"Antenatal, Neonatal",Autosomal dominant,3,8
294971,Isolated tetra-amelia,Antenatal,Unknown,3,14
289891,Hypermethioninemia due to glycine N-methyltransferase deficiency,Unknown,Autosomal recessive,3,3
289863,Atypical glycine encephalopathy,All ages,Unknown,3,0
289877,Transient hyperammonemia of the newborn,Neonatal,Unknown,3,8
289916,Vitamin B12-unresponsive methylmalonic acidemia type mut0,"Infancy, Neonatal",Autosomal recessive,1,12
289661,Epstein-Barr virus-positive diffuse large B-cell lymphoma,"Adult, Elderly",Not applicable,3,5
289857,Neonatal glycine encephalopathy,"Infancy, Neonatal",Autosomal recessive,1,12
289860,Infantile glycine encephalopathy,"Infancy, Neonatal",Autosomal recessive,1,12
289846,Glutathione synthetase deficiency with 5-oxoprolinuria,Unknown,Autosomal recessive,3,3
289849,Glutathione synthetase deficiency without 5-oxoprolinuria,Unknown,Autosomal recessive,3,3
289573,Multiple mitochondrial dysfunctions syndrome,Unknown,Autosomal recessive,3,3
289560,Mitochondrial membrane protein-associated neurodegeneration,"Adolescent, Adult, Childhood",Autosomal recessive,2,7
289553,Dysmorphism-conductive hearing loss-heart defect syndrome,"Infancy, Neonatal",Autosomal dominant,2,8
289548,Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency,"Infancy, Neonatal",Autosomal recessive,1,12
289539,BAP1-related tumor predisposition syndrome,Adult,Autosomal dominant,3,13
289601,Hereditary arterial and articular multiple calcification syndrome,Adult,Autosomal recessive,3,0
289596,Juvenile nasopharyngeal angiofibroma,"Adolescent, Childhood",Not applicable,2,14
289586,Exfoliative ichthyosis,"Infancy, Neonatal",Autosomal recessive,1,12
293355,Methylmalonic acidemia without homocystinuria,All ages,"Autosomal dominant, Autosomal recessive, X-linked dominant",3,13
293375,Grayson-Wilbrandt corneal dystrophy,"Adolescent, Adult, Childhood",Autosomal dominant,2,7
293381,Epithelial recurrent erosion dystrophy,Childhood,Autosomal dominant,2,1
293462,Pre-Descemet corneal dystrophy,Adult,Unknown,3,0
293603,Congenital hereditary endothelial dystrophy type II,"Infancy, Neonatal",Autosomal recessive,1,12
293621,X-linked endothelial corneal dystrophy,"Infancy, Neonatal",X-linked recessive,2,1
811,Shwachman-Diamond syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,12
293150,Familial clubfoot due to PITX1 point mutation,Unknown,Autosomal dominant,3,11
741,Familial mitral valve prolapse,Unknown,Autosomal dominant,3,11
