OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier
93111,HNF1B-related autosomal dominant tubulointerstitial kidney disease,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2
93126,Pauci-immune glomerulonephritis,"Adolescent, Adult, Childhood, Elderly",Not applicable,2
93172,"Renal dysplasia, unilateral",All ages,"Autosomal dominant, Not applicable",3
93173,"Renal dysplasia, bilateral",All ages,"Autosomal dominant, Not applicable",3
93322,Isolated tibial hemimelia,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable",1
93321,Isolated radial hemimelia,"Antenatal, Infancy, Neonatal","Multigenic/multifactorial, X-linked recessive",2
93320,Isolated ulnar hemimelia,"Infancy, Neonatal",,2
93325,Autosomal dominant Kenny-Caffey syndrome,Childhood,Autosomal dominant,2
93324,Autosomal recessive Kenny-Caffey syndrome,Childhood,Autosomal recessive,2
93323,Isolated fibular hemimelia,Antenatal,Not applicable,3
93329,Autosomal recessive omodysplasia,"Infancy, Neonatal",Autosomal recessive,1
93328,Autosomal dominant omodysplasia,"Infancy, Neonatal",Autosomal dominant,2
93336,Polydactyly of a triphalangeal thumb,,Autosomal dominant,3
93335,Postaxial polydactyly type B,Antenatal,Autosomal dominant,3
93334,Postaxial polydactyly type A,Antenatal,Autosomal recessive,1
93333,Pelviscapular dysplasia,"Infancy, Neonatal",Autosomal recessive,1
93339,Polydactyly of a biphalangeal thumb and/or hallux,"Infancy, Neonatal",Autosomal dominant,2
93337,Polydactyly of an index finger,"Infancy, Neonatal",Autosomal dominant,2
527276,Encephalopathy due to mitochondrial and peroxisomal fission defect,"Childhood, Infancy, Neonatal",,2
93338,Polysyndactyly,"Infancy, Neonatal",Autosomal dominant,2
93349,X-linked spondyloepimetaphyseal dysplasia,,X-linked recessive,3
93346,"Spondyloepimetaphyseal dysplasia congenita, Strudwick type","Infancy, Neonatal",Autosomal dominant,2
93347,Anauxetic dysplasia,"Antenatal, Neonatal",Autosomal recessive,1
93356,"Spondyloepimetaphyseal dysplasia, Missouri type","Childhood, Infancy",Autosomal dominant,2
93351,"Spondyloepimetaphyseal dysplasia, Irapa type",Childhood,Autosomal recessive,2
93352,"Spondyloepimetaphyseal dysplasia, Shohat type","Antenatal, Infancy, Neonatal",Autosomal recessive,1
93284,Spondyloepiphyseal dysplasia tarda,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive",2
93292,Adenoma of pancreas,"Adult, Elderly",,3
93293,Okihiro syndrome,Neonatal,Autosomal dominant,3
93296,Achondrogenesis type 2,"Antenatal, Neonatal",Autosomal dominant,3
93298,Achondrogenesis type 1B,"Antenatal, Neonatal",Autosomal recessive,1
93297,Hypochondrogenesis,"Infancy, Neonatal",Autosomal dominant,2
93299,Achondrogenesis type 1A,"Antenatal, Neonatal",Autosomal recessive,1
93302,"Brachyolmia, Maroteaux type",Childhood,Autosomal recessive,2
93304,Autosomal dominant brachyolmia,Childhood,Autosomal dominant,2
93307,Multiple epiphyseal dysplasia type 4,Childhood,Autosomal recessive,2
93308,Multiple epiphyseal dysplasia type 1,Childhood,Autosomal dominant,2
93311,Multiple epiphyseal dysplasia type 5,Childhood,Autosomal dominant,2
93314,"Spondylometaphyseal dysplasia, Kozlowski type",Infancy,Autosomal dominant,2
93315,"Spondylometaphyseal dysplasia, 'corner fracture' type","Childhood, Infancy, Neonatal",Autosomal dominant,2
93316,"Spondylometaphyseal dysplasia, Schmidt type","Adolescent, Childhood, Infancy",Autosomal dominant,2
93317,"Spondylometaphyseal dysplasia, Sedaghatian type","Antenatal, Neonatal",Autosomal recessive,1
529962,17q24.2 microdeletion syndrome,"Antenatal, Neonatal",Not applicable,3
529864,Secondary erythromelalgia,All ages,,3
529852,Combined hepatocellular carcinoma and cholangiocarcinoma,"Adult, Elderly",,3
90673,Hypothyroidism due to TSH receptor mutations,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
90674,Isolated thyroid-stimulating hormone deficiency,"Infancy, Neonatal",Autosomal recessive,1
529831,Letrozole toxicity,All ages,,3
529808,Chronic bilirubin encephalopathy,"Infancy, Neonatal",Not applicable,2
90658,Charcot-Marie-Tooth disease type 1E,"Childhood, Infancy",Autosomal dominant,2
529799,Acute bilirubin encephalopathy,Neonatal,,3
90791,Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency,"Infancy, Neonatal",Autosomal recessive,1
90790,Congenital lipoid adrenal hyperplasia due to STAR deficency,"Childhood, Infancy, Neonatal",Autosomal recessive,1
529980,Immune dysregulation-inflammatory bowel disease- recurrent sinopulmonary infections syndrome,Infancy,,2
530033,Dermoid or epidermoid cyst of the central nervous system,Adult,,3
529977,Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome,"Infancy, Neonatal",Autosomal recessive,1
90695,Non-acquired panhypopituitarism,All ages,"Autosomal recessive, X-linked recessive",3
529965,Intellectual disability-autism-speech apraxia-craniofacial dysmorphism syndrome,Infancy,Autosomal dominant,2
529970,Male infertility due to acephalic spermatozoa,Adult,Autosomal recessive,3
90400,Scleromyxedema without monoclonal gammopathy,"Adolescent, Adult, Elderly",,3
90625,Rare X-linked non-syndromic sensorineural deafness type DFN,"Childhood, Infancy",X-linked recessive,2
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Childhood,Autosomal dominant,2
90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,"Infancy, Neonatal",Autosomal recessive,1
529468,Monoclonal mast cell activation syndrome,All ages,,3
90397,Self-healing papular mucinosis,All ages,,3
529574,Duane retraction syndrome with congenital deafness,Neonatal,Autosomal dominant,3
90398,Localized lichen myxedematosus with mixed features of different subtypes,"Adult, Elderly",,3
90399,Localized lichen myxedematosus with monoclonal gammopathy or systemic symptoms,"Adult, Elderly",,3
90368,Hypotrichosis simplex of the scalp,Childhood,Autosomal dominant,2
90389,Telangiectasia macularis eruptiva perstans,,Unknown,3
90390,Anonychia-onychodystrophy syndrome,,"Autosomal dominant, Autosomal recessive",3
90653,Stickler syndrome type 1,"Childhood, Infancy, Neonatal",Autosomal dominant,2
90652,Otopalatodigital syndrome type 2,"Antenatal, Neonatal",X-linked dominant,3
90654,Stickler syndrome type 2,"Childhood, Infancy, Neonatal",Autosomal dominant,2
529665,Neurodevelopmental delay-seizures-ophthalmic anomalies-osteopenia-cerebellar atrophy syndrome,Infancy,Autosomal recessive,2
90647,Jervell and Lange-Nielsen syndrome,Neonatal,Autosomal recessive,1
90650,Otopalatodigital syndrome type 1,"Antenatal, Infancy, Neonatal",X-linked dominant,2
90646,Deafness-hypogonadism syndrome,"Infancy, Neonatal",,2
90641,Rare mitochondrial non-syndromic sensorineural deafness,"Childhood, Infancy",Mitochondrial inheritance,2
91387,Familial thoracic aortic aneurysm and aortic dissection,"Adolescent, Adult, Childhood",Autosomal dominant,2
91396,Isolated cryptophthalmia,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
91378,Hereditary angioedema,All ages,Autosomal dominant,3
91385,Acquired angioedema,Adult,Not applicable,3
91412,Marcus-Gunn syndrome,"Infancy, Neonatal",Autosomal dominant,2
91397,Isolated ankyloblepharon filiforme adnatum,"Infancy, Neonatal","Autosomal dominant, Not applicable",2
91411,Congenital ptosis,"Infancy, Neonatal","Autosomal dominant, X-linked recessive",2
91354,Pituitary deficiency due to empty sella turcica syndrome,"Adult, Elderly",,3
91355,Sheehan syndrome,Adult,,3
91359,Chronic pneumonitis of infancy,"Infancy, Neonatal",Not applicable,2
91496,Snowflake vitreoretinal degeneration,Adult,Autosomal dominant,3
91495,Persistent hyperplastic primary vitreous,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
91494,Macular coloboma-cleft palate-hallux valgus syndrome,Neonatal,Autosomal recessive,1
91492,Early onset non-syndromic cataract,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive",1
91546,Lyme disease,All ages,Not applicable,3
91500,Tubulointerstitial nephritis and uveitis syndrome,"Adolescent, Adult, Childhood, Elderly",Multigenic/multifactorial,2
91498,Familial congenital palsy of trochlear nerve,Neonatal,,3
91481,Ring dermoid of cornea,"Infancy, Neonatal",Autosomal dominant,2
91416,Isolated congenital alacrima,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
91414,Pilomatrixoma,"Adolescent, Adult, Childhood",Not applicable,2
91491,Congenital ectropion uveae,Neonatal,,3
91490,Isolated congenital sclerocornea,,Autosomal dominant,3
91489,Isolated congenital megalocornea,,X-linked recessive,3
91483,Rieger anomaly,Neonatal,Autosomal dominant,3
91127,Adenovirus infection in immunocompromised patients,All ages,Not applicable,3
91130,Cardiomyopathy-hypotonia-lactic acidosis syndrome,Neonatal,Autosomal recessive,1
91131,DK1-CDG,"Infancy, Neonatal",Autosomal recessive,1
91132,Ichthyosis-hypotrichosis syndrome,"Infancy, Neonatal",Autosomal recessive,1
90793,Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency,"Infancy, Neonatal",Autosomal recessive,1
90794,Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1
90795,Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency,"Infancy, Neonatal",Autosomal recessive,1
90796,"46,XY difference of sex development due to isolated 17,20-lyase deficiency",Neonatal,Autosomal recessive,1
90797,Partial androgen insensitivity syndrome,All ages,X-linked recessive,3
90970,Primary lipodystrophy,All ages,,3
91024,Autosomal recessive axonal hereditary motor and sensory neuropathy,,Autosomal recessive,3
91347,TSH-secreting pituitary adenoma,"Adolescent, Adult, Childhood, Elderly",,2
91349,Non-functioning pituitary adenoma,"Adolescent, Adult, Childhood",Not applicable,2
91348,Functioning gonadotropic adenoma,Adult,,3
91351,Pituitary dermoid and epidermoid cysts,"Adult, Elderly",,3
91350,Pituitary deficiency due to Rathke cleft cysts,All ages,,3
91352,Germinoma of the central nervous system,"Adolescent, Adult, Childhood",Not applicable,2
91136,Acquired monoclonal Ig light chain-associated Fanconi syndrome,"Adult, Elderly",Not applicable,3
91135,Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency,"Adolescent, Childhood","Autosomal recessive, Unknown",2
91138,Cryoglobulinemic vasculitis,All ages,Not applicable,3
91137,Immunotactoid or fibrillary glomerulopathy,Adult,Not applicable,3
91140,Unspecified juvenile idiopathic arthritis,"Childhood, Infancy",,2
91139,Simple cryoglobulinemia,"Adult, Elderly",,3
528623,Hereditary angioedema with C1Inh deficiency,"Adult, Elderly",Not applicable,3
528647,Hereditary angioedema with normal C1Inh,,Not applicable,3
528663,Acquired angioedema with C1Inh deficiency,,Not applicable,3
79396,"Autosomal dominant generalized epidermolysis bullosa simplex, severe form",Neonatal,Autosomal dominant,3
79397,Epidermolysis bullosa simplex with mottled pigmentation,"Infancy, Neonatal",Autosomal dominant,2
79394,Congenital ichthyosiform erythroderma,"Infancy, Neonatal",Autosomal recessive,1
79395,Keratoderma hereditarium mutilans with ichthyosis,"Infancy, Neonatal",Autosomal dominant,2
79373,Ectodermal dysplasia syndrome,"Infancy, Neonatal",,2
79414,Woolly hair nevus,"Infancy, Neonatal",Not applicable,2
79399,"Autosomal dominant generalized epidermolysis bullosa simplex, intermediate form","Infancy, Neonatal","Autosomal dominant, Not applicable",2
79401,PLEC-related intermediate epidermolysis bullosa simplex without extracutaneous involvement,"Infancy, Neonatal",Autosomal dominant,2
79400,Localized epidermolysis bullosa simplex,Childhood,Autosomal dominant,2
79403,Junctional epidermolysis bullosa with pyloric atresia,"Antenatal, Neonatal",Autosomal recessive,1
79402,Intermediate generalized junctional epidermolysis bullosa,Neonatal,Autosomal recessive,1
79405,Junctional epidermolysis bullosa inversa,"Infancy, Neonatal",Autosomal recessive,1
79404,Severe generalized junctional epidermolysis bullosa,"Infancy, Neonatal",Autosomal recessive,1
79406,Late-onset junctional epidermolysis bullosa,"Adolescent, Adult, Childhood",Autosomal recessive,2
79409,Recessive dystrophic epidermolysis bullosa inversa,"Infancy, Neonatal",Autosomal recessive,1
79408,"Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form",Neonatal,Autosomal recessive,1
79411,Self-improving dystrophic epidermolysis bullosa,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
79410,"Localized dystrophic epidermolysis bullosa, pretibial form","Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
79452,Milroy disease,"Antenatal, Infancy, Neonatal",Autosomal dominant,2
79447,X-linked lethal multiple pterygium syndrome,"Antenatal, Neonatal","X-linked dominant, X-linked recessive",3
79456,Diffuse cutaneous mastocytosis,"Infancy, Neonatal",Not applicable,2
79457,Maculopapular cutaneous mastocytosis,All ages,Not applicable,3
79455,Cutaneous mastocytoma,All ages,Not applicable,3
79435,Oculocutaneous albinism type 4,"Infancy, Neonatal",Autosomal recessive,1
79434,Oculocutaneous albinism type 1B,"Infancy, Neonatal",Autosomal recessive,1
79433,Oculocutaneous albinism type 3,"Infancy, Neonatal",Autosomal recessive,1
79432,Oculocutaneous albinism type 2,"Infancy, Neonatal",Autosomal recessive,1
79431,Oculocutaneous albinism type 1A,"Infancy, Neonatal",Autosomal recessive,1
79430,Hermansky-Pudlak syndrome,"Infancy, Neonatal",Autosomal recessive,1
79445,Pseudopseudohypoparathyroidism,All ages,Autosomal dominant,3
79444,Pseudohypoparathyroidism type 1C,"Childhood, Infancy, Neonatal",Autosomal dominant,2
79443,Pseudohypoparathyroidism type 1A,"Childhood, Infancy, Neonatal",Autosomal dominant,2
79483,Phakomatosis cesioflammea,,Not applicable,3
79484,Phakomatosis cesiomarmorata,,Not applicable,3
79485,Phakomatosis spilorosea,,Not applicable,3
79478,Griscelli syndrome type 3,Childhood,Autosomal recessive,2
79479,Pemphigus vegetans,All ages,,3
79480,Pemphigus erythematosus,"Adolescent, Adult, Childhood",,2
79481,Pemphigus foliaceus,All ages,,3
79490,Microcystic lymphatic malformation,"Infancy, Neonatal",Not applicable,2
79492,Pili gemini,"Adolescent, Adult, Childhood, Elderly",,2
79493,Brooke-Spiegler syndrome,"Adolescent, Adult",Autosomal dominant,3
79489,Macrocystic lymphatic malformation,"Infancy, Neonatal",Not applicable,2
79474,Atypical Werner syndrome,"Adolescent, Adult","Autosomal dominant, Unknown",3
79477,Griscelli syndrome type 2,"Childhood, Infancy",Autosomal recessive,2
79476,Griscelli syndrome type 1,"Childhood, Infancy",Autosomal recessive,2
79473,Variegate porphyria,"Adolescent, Adult",Autosomal dominant,3
79269,Sanfilippo syndrome type A,,Autosomal recessive,3
79257,GM1 gangliosidosis type 3,All ages,Autosomal recessive,3
79256,GM1 gangliosidosis type 2,Childhood,Autosomal recessive,2
79255,GM1 gangliosidosis type 1,"Infancy, Neonatal",Autosomal recessive,1
79259,Glycogen storage disease due to glucose-6-phosphatase deficiency type Ib,"Infancy, Neonatal",Autosomal recessive,1
79258,Glycogen storage disease due to glucose-6-phosphatase deficiency type Ia,"Infancy, Neonatal",Autosomal recessive,1
79246,Pyruvate dehydrogenase phosphatase deficiency,"Infancy, Neonatal",Autosomal recessive,1
79240,Glycogen storage disease due to liver and muscle phosphorylase kinase deficiency,Childhood,Autosomal recessive,2
79241,Biotinidase deficiency,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1
79238,Galactose epimerase deficiency,"Infancy, Neonatal",Autosomal recessive,1
79239,Classic galactosemia,"Infancy, Neonatal",Autosomal recessive,1
79244,Pyruvate dehydrogenase E2 deficiency,Childhood,Autosomal recessive,2
79242,Holocarboxylase synthetase deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive,1
79243,Pyruvate dehydrogenase E1-alpha deficiency,"Infancy, Neonatal",X-linked dominant,2
79299,Congenital glucokinase-related hyperinsulinism,"Infancy, Neonatal",Autosomal dominant,2
79298,Diazoxide-resistant focal hyperinsulinism,All ages,,3
79301,Congenital bile acid synthesis defect type 1,"Infancy, Neonatal",Autosomal recessive,1
79293,Familial LCAT deficiency,All ages,"Autosomal recessive, Not applicable",3
79292,Fish-eye disease,"Adolescent, Adult",Autosomal recessive,3
79278,Autosomal erythropoietic protoporphyria,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
79279,Alpha-N-acetylgalactosaminidase deficiency type 1,"Infancy, Neonatal",Autosomal recessive,1
79280,Alpha-N-acetylgalactosaminidase deficiency type 2,Adult,Autosomal recessive,3
79281,Alpha-N-acetylgalactosaminidase deficiency type 3,Childhood,Autosomal recessive,2
79282,"Methylmalonic acidemia with homocystinuria, type cblC",All ages,Autosomal recessive,3
79283,"Methylmalonic acidemia with homocystinuria, type cblD",All ages,Autosomal recessive,3
79284,Methylmalonic acidemia with homocystinuria type cblF,Childhood,Autosomal recessive,2
79270,Sanfilippo syndrome type B,"Infancy, Neonatal",Autosomal recessive,1
79271,Sanfilippo syndrome type C,Childhood,Autosomal recessive,2
79272,Sanfilippo syndrome type D,,Autosomal recessive,3
79273,Hereditary coproporphyria,"Adolescent, Adult",Autosomal dominant,3
79276,Acute intermittent porphyria,"Adolescent, Adult",Autosomal dominant,3
79277,Congenital erythropoietic porphyria,All ages,Autosomal recessive,3
79333,COG7-CDG,"Infancy, Neonatal",Autosomal recessive,1
79332,B4GALT1-CDG,Neonatal,Autosomal recessive,1
79330,MOGS-CDG,"Infancy, Neonatal",Autosomal recessive,1
79329,MGAT2-CDG,"Infancy, Neonatal",Autosomal recessive,1
79328,ALG9-CDG,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
79327,ALG1-CDG,"Infancy, Neonatal",Autosomal recessive,1
79326,ALG2-CDG,"Infancy, Neonatal",Autosomal recessive,1
79325,ALG8-CDG,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
79324,ALG12-CDG,"Infancy, Neonatal",Autosomal recessive,1
79323,MPDU1-CDG,"Infancy, Neonatal",Autosomal recessive,1
79322,DPM1-CDG,"Infancy, Neonatal",Autosomal recessive,1
79321,ALG3-CDG,"Infancy, Neonatal",Autosomal recessive,1
79320,ALG6-CDG,"Infancy, Neonatal",Autosomal recessive,1
79319,MPI-CDG,"Infancy, Neonatal",Autosomal recessive,1
79318,PMM2-CDG,"Infancy, Neonatal",Autosomal recessive,1
79314,L-2-hydroxyglutaric aciduria,Childhood,Autosomal recessive,2
79315,D-2-hydroxyglutaric aciduria,"Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
79312,Vitamin B12-unresponsive methylmalonic acidemia type mut-,"Infancy, Neonatal",Autosomal recessive,1
79310,Vitamin B12-responsive methylmalonic acidemia type cblA,Childhood,Autosomal recessive,2
79311,Vitamin B12-responsive methylmalonic acidemia type cblB,Childhood,Autosomal recessive,2
79306,Progressive familial intrahepatic cholestasis type 1,"Infancy, Neonatal",Autosomal recessive,1
79304,Progressive familial intrahepatic cholestasis type 2,"Infancy, Neonatal",Autosomal recessive,1
79305,Progressive familial intrahepatic cholestasis type 3,All ages,Autosomal recessive,3
79302,Congenital bile acid synthesis defect type 3,"Infancy, Neonatal",Autosomal recessive,1
79303,Congenital bile acid synthesis defect type 2,"Infancy, Neonatal",Autosomal recessive,1
79361,Inherited epidermolysis bullosa,All ages,"Autosomal dominant, Autosomal recessive",3
79351,"3-phosphoglycerate dehydrogenase deficiency, infantile/juvenile form","Adolescent, Childhood, Infancy",Autosomal recessive,2
79350,"3-phosphoserine phosphatase deficiency, infantile/juvenile form",Infancy,Autosomal recessive,2
79346,"Chondrodysplasia punctata, tibial-metacarpal type","Antenatal, Neonatal",Unknown,3
79347,"Chondrodysplasia punctata, Toriello type",Neonatal,Autosomal recessive,1
79345,Brachytelephalangic chondrodysplasia punctata,"Antenatal, Neonatal",X-linked recessive,3
85191,Singleton-Merten dysplasia,No data available,Autosomal dominant,3
85188,"Metaphyseal dysplasia, Braun-Tinschert type","Infancy, Neonatal",,2
85193,Idiopathic juvenile osteoporosis,"Adolescent, Childhood","Multigenic/multifactorial, Not applicable",2
85192,Calvarial doughnut lesions-bone fragility syndrome,Childhood,Autosomal dominant,2
85195,Familial expansile osteolysis,"Adolescent, Adult, Childhood",Autosomal dominant,2
85194,Spondylo-ocular syndrome,"Infancy, Neonatal",Autosomal recessive,1
85197,Genochondromatosis type 1,Childhood,Autosomal dominant,2
85199,Craniosynostosis-anal anomalies-porokeratosis syndrome,"Infancy, Neonatal",Autosomal recessive,1
85198,Dysspondyloenchondromatosis,"Infancy, Neonatal","Autosomal dominant, Not applicable",2
85201,Genitopatellar syndrome,Childhood,"Autosomal dominant, Autosomal recessive",2
85203,Acropectoral syndrome,"Infancy, Neonatal",Autosomal dominant,2
85202,Keutel syndrome,Childhood,Autosomal recessive,2
85273,"X-linked intellectual disability, Abidi type",Childhood,X-linked recessive,2
85212,Fetal Gaucher disease,"Infancy, Neonatal",Autosomal recessive,1
85274,Syndromic X-linked intellectual disability 7,No data available,X-linked recessive,3
85275,Microphthalmia-ankyloblepharon-intellectual disability syndrome,"Infancy, Neonatal",X-linked recessive,2
85276,"X-linked intellectual disability, Armfield type","Infancy, Neonatal",X-linked recessive,2
85277,"X-linked intellectual disability, Cantagrel type","Infancy, Neonatal",X-linked recessive,2
85278,Christianson syndrome,"Infancy, Neonatal",X-linked recessive,2
85279,KDM5C-related syndromic X-linked intellectual disability,Childhood,X-linked recessive,2
85280,X-linked intellectual disability-cubitus valgus-dysmorphism syndrome,"Infancy, Neonatal",X-linked recessive,2
85282,MEHMO syndrome,"Antenatal, Infancy, Neonatal",X-linked recessive,2
85284,BRESEK syndrome,Childhood,X-linked dominant,2
85285,"X-linked intellectual disability, Schimke type","Infancy, Neonatal",X-linked recessive,2
85286,"X-linked intellectual disability, Shashi type","Infancy, Neonatal",X-linked recessive,2
85287,"X-linked intellectual disability, Siderius type","Infancy, Neonatal",X-linked recessive,2
85288,"X-linked intellectual disability, Stocco Dos Santos type",Childhood,X-linked recessive,2
85293,"X-linked intellectual disability, Cabezas type",Childhood,X-linked recessive,2
85292,X-linked spinocerebellar ataxia type 4,Adult,X-linked recessive,3
85290,"X-linked intellectual disability, Wilson type",Childhood,"X-linked dominant, X-linked recessive",2
85317,X-linked intellectual disability-hypogammaglobulinemia-progressive neurological deterioration syndrome,Childhood,X-linked recessive,2
85297,X-linked spinocerebellar ataxia type 3,Childhood,X-linked recessive,2
85295,"HSD10 disease, atypical type","Childhood, Infancy",X-linked dominant,2
85294,X-linked epilepsy-learning disabilities-behavior disorders syndrome,Childhood,X-linked recessive,2
85321,"Deafness-intellectual disability syndrome, Martin-Probst type","Infancy, Neonatal",X-linked recessive,2
85320,X-linked intellectual disability-macrocephaly-macroorchidism syndrome,"Infancy, Neonatal",X-linked recessive,2
85319,X-linked intellectual disability-epilepsy-progressive joint contractures-dysmorphism syndrome,"Infancy, Neonatal",X-linked recessive,2
85325,"X-linked intellectual disability, Stevenson type",Childhood,X-linked recessive,2
85324,"X-linked intellectual disability, Shrimpton type","Infancy, Neonatal",X-linked recessive,2
85323,"X-linked intellectual disability, Seemanova type","Infancy, Neonatal",X-linked recessive,2
85322,"X-linked intellectual disability, Pai type","Childhood, Infancy",X-linked recessive,2
85329,X-linked intellectual disability-hypotonia-facial dysmorphism-aggressive behavior syndrome,"Childhood, Infancy",X-linked recessive,2
85326,"X-linked intellectual disability, Stoll type","Infancy, Neonatal",X-linked recessive,2
85327,X-linked intellectual disability-acromegaly-hyperactivity syndrome,Childhood,X-linked recessive,2
85332,X-linked intellectual disability-retinitis pigmentosa syndrome,"Antenatal, Infancy, Neonatal",X-linked recessive,2
85336,"X-linked neurodegenerative syndrome, Hamel type","Infancy, Neonatal",X-linked recessive,2
85334,"X-linked neurodegenerative syndrome, Bertini type","Infancy, Neonatal",X-linked recessive,2
85335,Fried syndrome,"Infancy, Neonatal",X-linked recessive,2
85410,Oligoarticular juvenile idiopathic arthritis,Childhood,Multigenic/multifactorial,2
85414,Systemic-onset juvenile idiopathic arthritis,Childhood,"Multigenic/multifactorial, Unknown",2
85338,X-linked intellectual disability-ataxia-apraxia syndrome,Childhood,X-linked recessive,2
85408,Rheumatoid factor-negative polyarticular juvenile idiopathic arthritis,Childhood,Multigenic/multifactorial,2
85443,AL amyloidosis,Adult,Not applicable,3
85442,Short stature-pituitary and cerebellar defects-small sella turcica syndrome,"Infancy, Neonatal",Autosomal dominant,2
85446,Wild type ABeta2M amyloidosis,Adult,Not applicable,3
85445,AA amyloidosis,"Adolescent, Adult, Childhood",Not applicable,2
85436,Psoriasis-related juvenile idiopathic arthritis,"Adolescent, Childhood",Unknown,2
85435,Rheumatoid factor-positive polyarticular juvenile idiopathic arthritis,Childhood,Unknown,2
85438,Enthesitis-related juvenile idiopathic arthritis,"Adolescent, Childhood",Unknown,2
85458,Hereditary cerebral amyloid angiopathy,Adult,Autosomal dominant,3
85453,X-linked reticulate pigmentary disorder,Childhood,X-linked dominant,2
86788,X-linked severe congenital neutropenia,"Infancy, Neonatal",X-linked recessive,2
86309,DPAGT1-CDG,"Childhood, Infancy, Neonatal",Autosomal recessive,1
85448,AGel amyloidosis,Adult,Autosomal dominant,3
85447,ATTRV30M amyloidosis,Adult,Autosomal dominant,3
85451,ATTRV122I amyloidosis,Adult,Autosomal dominant,3
85450,Hereditary amyloidosis with primary renal involvement,All ages,Autosomal dominant,3
86812,POMT1-related limb-girdle muscular dystrophy R11,Childhood,Autosomal recessive,2
86813,Helicoid peripapillary chorioretinal degeneration,"Infancy, Neonatal",Autosomal dominant,2
86814,Familial adult myoclonic epilepsy,All ages,Autosomal dominant,3
86815,Aplasia of lacrimal and salivary glands,,Autosomal dominant,3
86789,Isolated patella aplasia/hypoplasia,"Infancy, Neonatal",Autosomal dominant,2
86797,Atypical lichen myxedematosus,"Adolescent, Adult, Elderly",,3
86820,Familial avascular necrosis of femoral head,Adult,Autosomal dominant,3
86821,Lissencephaly type 3-familial fetal akinesia sequence syndrome,Antenatal,Autosomal recessive,1
86822,Lissencephaly type 3-metacarpal bone dysplasia syndrome,"Antenatal, Neonatal",Autosomal recessive,1
86816,Congenital analbuminemia,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
512017,Chronic lymphoproliferative disorder of natural killer cells,,Unknown,3
86817,Hemolytic anemia due to adenylate kinase deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive,1
86818,Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome,"Antenatal, Infancy, Neonatal",X-linked recessive,2
86819,Atrichia with papular lesions,,Autosomal recessive,3
86843,Acute panmyelosis with myelofibrosis,Adult,Not applicable,3
86841,Myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality,Adult,Not applicable,3
86839,Myelodysplastic neoplasm with increased blasts,Adult,Not applicable,3
86836,Refractory cytopenia with multilineage dysplasia,Adult,,3
512103,Autosomal recessive epidermolytic ichthyosis,,Autosomal recessive,3
86834,Juvenile myelomonocytic leukemia,"Childhood, Infancy",Not applicable,2
86830,"Chronic myeloproliferative disease, unclassifiable",Adult,,3
86829,Chronic neutrophilic leukemia,Adult,Not applicable,3
86855,Plasmacytoma,Adult,Not applicable,3
512260,Congenital cerebellar ataxia due to RNU12 mutation,Infancy,Autosomal recessive,2
86854,Splenic marginal zone lymphoma,Adult,Not applicable,3
86852,B-cell prolymphocytic leukemia,Adult,,3
86851,Acute leukemia of ambiguous lineage,All ages,,3
86850,Myeloid sarcoma,All ages,Not applicable,3
86849,Acute basophilic leukemia,All ages,,3
86846,Therapy related acute myeloid leukemia and myelodysplastic syndrome,All ages,,3
86845,Acute myeloid leukaemia with myelodysplasia-related features,Adult,Not applicable,3
86872,T-cell large granular lymphocyte leukemia,Adult,Not applicable,3
