OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier
3008,Pyruvate carboxylase deficiency,"Infancy, Neonatal","Autosomal recessive, Not applicable",1
443192,Classic stiff person syndrome,Adult,Not applicable,3
595,Centronuclear myopathy,"Adolescent, Adult, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive",1
443180,Spontaneous intracranial hypotension,"Adolescent, Adult, Childhood, Elderly",Not applicable,2
443173,Postpartum psychosis,Adult,Not applicable,3
443291,HIV-associated cancer,,Not applicable,3
298,Mitochondrial neurogastrointestinal encephalomyopathy,"Adolescent, Adult, Childhood",Autosomal recessive,2
396,Chronic hiccup,All ages,Not applicable,3
443236,Postural orthostatic tachycardia syndrome due to NET deficiency,Adult,Autosomal dominant,3
552,MODY,"Adolescent, Adult, Childhood","Autosomal dominant, Not applicable",2
854,Non-malignant and non-cirrhotic portal vein thrombosis,All ages,Not applicable,3
443227,Paratyphoid fever,All ages,Not applicable,3
443098,Hyperostosis cranialis interna,"Adolescent, Adult, Childhood",Autosomal dominant,2
443087,"46,XY difference of sex development due to testicular 17,20-desmolase deficiency",Neonatal,Autosomal recessive,1
443167,NUT midline carcinoma,"Adolescent, Adult, Childhood, Elderly",Not applicable,2
130,Brugada syndrome,"Adult, Childhood","Autosomal dominant, Not applicable",2
277,Severe combined immunodeficiency due to adenosine deaminase deficiency,"Infancy, Neonatal",Autosomal recessive,1
443162,NDE1-related microhydranencephaly,"Antenatal, Neonatal",Autosomal recessive,1
443159,Lymphoplasmacytic lymphoma without IgM production,,Not applicable,3
443101,Hypothalamic adipsic hypernatraemia syndrome,,Not applicable,3
443804,Focal stiff limb syndrome,Adult,Not applicable,3
443811,PGM3-CDG,"Childhood, Infancy, Neonatal",Autosomal recessive,1
443950,DNAJB2-related Charcot-Marie-Tooth disease type 2,Adult,Autosomal recessive,3
443988,Ventriculomegaly-cystic kidney disease,Antenatal,Autosomal recessive,1
444092,Autoimmune interstitial lung disease-arthritis syndrome,"Childhood, Infancy",Autosomal dominant,2
444099,Autosomal dominant spastic paraplegia type 73,Adult,Autosomal dominant,3
444138,Peeling skin-leukonychia-acral punctate keratoses-cheilitis-knuckle pads syndrome,Infancy,Autosomal recessive,2
444002,11q22.2q22.3 microdeletion syndrome,"Infancy, Neonatal",Not applicable,2
443995,Mandibulofacial dysostosis with alopecia,"Infancy, Neonatal","Autosomal dominant, Not applicable",2
444048,"46,XX ovarian dysgenesis-short stature syndrome",Adolescent,Autosomal recessive,3
444013,Combined oxidative phosphorylation defect type 23,"Childhood, Infancy, Neonatal",Autosomal recessive,1
444069,Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome,Antenatal,Autosomal recessive,1
444051,20q11.2 microdeletion syndrome,"Antenatal, Neonatal",Not applicable,3
444077,Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3
444072,Cerebellar-facial-dental syndrome,"Antenatal, Neonatal",Autosomal recessive,1
444463,Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome due to TPP2 deficiency,"Childhood, Infancy",Autosomal recessive,2
444490,Familial chylomicronemia syndrome,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2
444316,Idiopathic phalangeal acro-osteolysis,,Not applicable,3
444458,Combined oxidative phosphorylation defect type 24,Infancy,Autosomal recessive,2
445110,Limb-girdle muscular dystrophy due to POMK deficiency,Infancy,Autosomal recessive,2
445062,Juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome,"Adolescent, Childhood, Infancy",Autosomal recessive,2
445038,3-methylglutaconic aciduria-neonatal cataract-neurologic involvement-congenital neutropenia syndrome,"Antenatal, Neonatal",Autosomal recessive,1
445018,Syndromic autoimmune enteropathy due to LRBA deficiency,"Childhood, Infancy",Autosomal recessive,2
447731,NIK deficiency,"Infancy, Neonatal",Autosomal recessive,1
447737,Combined immunodeficiency due to DOCK2 deficiency,"Infancy, Neonatal",Autosomal recessive,1
447740,Aggressive periodontitis,Adolescent,Autosomal recessive,3
447881,Idiopathic dropped head syndrome,All ages,Not applicable,3
447877,Polymerase proofreading-related polyposis,Childhood,Autosomal dominant,2
447896,Tremor-ataxia-central hypomyelination syndrome,"Childhood, Infancy",Autosomal recessive,2
447893,Hypomyelination-cerebellar atrophy-hypoplasia of the corpus callosum syndrome,"Childhood, Infancy",Autosomal recessive,2
447788,Cerebral visual impairment,"Infancy, Neonatal",Not applicable,2
447795,Lipoyl transferase 2 deficiency,No data available,No data available,3
447774,Secondary sclerosing cholangitis,,Not applicable,3
447784,Mitochondrial pyruvate carrier deficiency,Neonatal,Autosomal recessive,1
447777,Keratocystic odontogenic tumor,,Not applicable,3
447757,Autosomal dominant spastic paraplegia type 9B,"Adolescent, Adult, Infancy",Autosomal dominant,2
447753,Autosomal dominant spastic paraplegia type 9A,"Adolescent, Adult, Infancy",Autosomal dominant,2
447764,IgG4-related sclerosing cholangitis,,Not applicable,3
447760,Autosomal recessive spastic paraplegia type 9B,"Childhood, Infancy",Autosomal recessive,2
412066,PRKAR1B-related neurodegenerative dementia with intermediate filaments,Adult,Autosomal dominant,3
412057,Autosomal recessive cerebellar ataxia due to STUB1 deficiency,"Adolescent, Adult, Childhood",Autosomal recessive,2
412181,Epidermolysis bullosa simplex due to BP230 deficiency,Adult,Autosomal recessive,3
412069,AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome,Neonatal,Autosomal dominant,3
412189,Epidermolysis bullosa simplex due to exophilin 5 deficiency,Childhood,Autosomal recessive,2
412217,Dystonia-aphonia syndrome,"Adolescent, Adult, Childhood, Infancy",Autosomal dominant,2
412206,Primary failure of tooth eruption,,Autosomal dominant,3
418959,Squamous cell carcinoma of the stomach,"Adult, Elderly",Not applicable,3
418945,"Carcinoma of esophagus, salivary gland type","Adult, Elderly",Not applicable,3
418951,Undifferentiated carcinoma of esophagus,"Adult, Elderly",Not applicable,3
420259,Secondary pulmonary alveolar proteinosis,,Not applicable,3
420179,Malan overgrowth syndrome,Infancy,"Autosomal dominant, Unknown",2
415286,Bilirubin encephalopathy,"Infancy, Neonatal",Not applicable,2
420789,Autoimmune encephalopathy with parasomnia and obstructive sleep apnea,"Adult, Elderly",Not applicable,3
420794,Cono-spondylar dysplasia,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
420702,Autosomal recessive severe congenital neutropenia due to CSF3R deficiency,"Infancy, Neonatal",Autosomal recessive,1
420728,Combined oxidative phosphorylation defect type 20,Infancy,Autosomal recessive,2
420733,Combined oxidative phosphorylation defect type 21,Neonatal,Autosomal recessive,1
420741,RIDDLE syndrome,"Adolescent, Infancy",Autosomal recessive,2
420492,"Adult-onset cervical dystonia, DYT23 type",Adult,Autosomal dominant,3
420485,Cranio-cervical dystonia with laryngeal and upper-limb involvement,"Adolescent, Adult, Childhood",Autosomal dominant,2
420556,Visual snow syndrome,,Not applicable,3
420402,Semicircular canal dehiscence syndrome,All ages,Not applicable,3
420429,"Glycogen storage disease due to acid maltase deficiency, late-onset","Adolescent, Adult",Autosomal recessive,3
420611,Transient myeloproliferative syndrome,"Antenatal, Neonatal",Not applicable,3
