OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance
96334,Kagami-Ogata syndrome due to paternal uniparental disomy of chromosome 14,"Infancy, Neonatal",
97214,Eisenmenger syndrome,"Adolescent, Adult, Childhood",Not applicable
97234,Glycogen storage disease due to phosphoglycerate mutase deficiency,"Adolescent, Childhood",Autosomal recessive
97238,Rippling muscle disease,"Adolescent, Adult, Childhood, Elderly, Infancy","Autosomal dominant, Autosomal recessive"
97239,Reducing body myopathy,"Adult, Childhood, Infancy","Not applicable, X-linked dominant"
97240,Zebra body myopathy,Neonatal,Unknown
97229,Riboflavin transporter deficiency,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
97232,Fingerprint body myopathy,Neonatal,
97598,Congenital renal artery stenosis,Neonatal,
97564,Pauci-immune glomerulonephritis without ANCA,"Adolescent, Adult, Childhood",Not applicable
97685,17q11 microdeletion syndrome,"Antenatal, Infancy, Neonatal",Not applicable
95707,Idiopathic isolated micropenis,Neonatal,
95706,Non-syndromic posterior hypospadias,"Antenatal, Neonatal","Multigenic/multifactorial, X-linked recessive"
95702,X-linked adrenal hypoplasia congenita,"Childhood, Infancy",X-linked recessive
95715,Congenital hypothyroidism due to transplacental passage of TSH-binding inhibitory antibodies,Neonatal,Not applicable
95716,Familial thyroid dyshormonogenesis,"Infancy, Neonatal",Autosomal recessive
95713,Athyreosis,"Infancy, Neonatal",Autosomal dominant
95712,Thyroid ectopia,"Infancy, Neonatal",Not applicable
95619,Post-traumatic pituitary deficiency,"Adolescent, Adult, Childhood, Elderly",
95700,Familial adrenal hypoplasia with absent pituitary luteinizing hormone,Infancy,Autosomal recessive
95699,Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency,"Infancy, Neonatal",Autosomal recessive
95513,Panhypophysitis,"Adolescent, Adult, Childhood, Elderly",
95496,Pituitary stalk interruption syndrome,Childhood,"Autosomal dominant, Autosomal recessive, Not applicable"
95494,"Combined pituitary hormone deficiencies, genetic forms","Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
95433,Autosomal recessive spinocerebellar ataxia-blindness-deafness syndrome,Childhood,Autosomal recessive
95434,Autosomal recessive cerebellar ataxia-movement disorder syndrome,"Adult, Childhood, Elderly, Infancy",Autosomal recessive
95459,Congenital tricuspid stenosis,"Infancy, Neonatal",
95232,Lissencephaly due to LIS1 mutation,"Antenatal, Infancy, Neonatal",Autosomal dominant
95159,Hepatoerythropoietic porphyria,Childhood,Autosomal recessive
95428,COG8-CDG,Childhood,Autosomal recessive
95430,Congenital tracheomalacia,Infancy,No data available
95429,Angioma serpiginosum,Childhood,"Autosomal dominant, Not applicable, X-linked recessive"
94091,Mills syndrome,"Adolescent, Adult, Childhood, Elderly",
94122,"Cerebellar ataxia, Cayman type","Infancy, Neonatal",Autosomal recessive
94125,Recessive mitochondrial ataxia syndrome,"Adolescent, Childhood",Autosomal recessive
94147,Spinocerebellar ataxia type 7,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
94148,Autosomal dominant cerebellar ataxia type III,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
94064,Deafness-infertility syndrome,"Childhood, Infancy, Neonatal",Autosomal recessive
94063,12q14 microdeletion syndrome,Childhood,Unknown
94066,Severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia,"Infancy, Neonatal",Autosomal recessive
94065,15q24 microdeletion syndrome,Childhood,"Not applicable, Unknown"
94068,Spondyloepiphyseal dysplasia congenita,"Antenatal, Neonatal",Autosomal dominant
94083,Partington syndrome,Childhood,X-linked recessive
94080,Non-functioning paraganglioma,"Adolescent, Adult, Childhood, Elderly",
94086,Blue diaper syndrome,"Infancy, Neonatal",
94089,Pseudohypoparathyroidism type 1B,"Adolescent, Childhood, Infancy, Neonatal","Autosomal dominant, Not applicable"
96175,Ring chromosome 11 syndrome,"Antenatal, Infancy, Neonatal",
96173,Ring chromosome 9 syndrome,"Antenatal, Neonatal",
96172,Ring chromosome 3 syndrome,"Antenatal, Infancy, Neonatal",
96171,Ring chromosome 2 syndrome,"Antenatal, Infancy, Neonatal",
96170,Emanuel syndrome,"Antenatal, Neonatal",
96169,Koolen-De Vries syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
96168,Monosomy 13q34 syndrome,"Antenatal, Neonatal",Not applicable
96167,Recombinant 8 syndrome,"Infancy, Neonatal",Unknown
96160,Non-distal deletion 12q syndrome,Neonatal,
96150,Distal deletion 14q syndrome,Neonatal,
96148,Distal deletion 10q syndrome,"Antenatal, Neonatal","Not applicable, Unknown"
96149,Distal deletion 12q syndrome,Neonatal,
96147,Kleefstra syndrome due to 9q34 microdeletion,"Infancy, Neonatal",Not applicable
96145,Distal deletion 4q syndrome,"Infancy, Neonatal",
96129,Distal deletion 19p syndrome,"Antenatal, Neonatal",
96125,Distal deletion 6p syndrome,"Antenatal, Infancy, Neonatal","Not applicable, Unknown"
96126,Distal deletion 7p syndrome,"Antenatal, Neonatal",
96121,7q11.23 microduplication syndrome,"Infancy, Neonatal",
96123,Monosomy 22 syndrome,Neonatal,
96112,Non-distal duplication 9q syndrome,Neonatal,
96107,Distal duplication 20q syndrome,"Antenatal, Neonatal",
96106,Distal duplication 16q syndrome,"Antenatal, Neonatal",
96105,Distal duplication 13q syndrome,"Antenatal, Neonatal",
96109,Distal duplication 22q syndrome,"Antenatal, Neonatal",
96098,Distal duplication 6q syndrome,"Antenatal, Neonatal",
96097,Distal duplication 5q syndrome,Neonatal,
96096,Distal duplication 4q syndrome,"Antenatal, Neonatal",
96103,Distal duplication 11q syndrome,"Antenatal, Neonatal",
96102,Distal duplication 10q syndrome,"Infancy, Neonatal",
96101,Distal duplication 9q syndrome,"Antenatal, Neonatal",
96100,Distal duplication 8q syndrome,"Antenatal, Neonatal",
96094,Distal duplication 2q syndrome,"Infancy, Neonatal",
96095,3q26 microduplication syndrome,"Antenatal, Neonatal",
96092,8p inverted duplication/deletion syndrome,"Antenatal, Infancy, Neonatal","Not applicable, Unknown"
96072,4p16.3 microduplication syndrome,"Infancy, Neonatal",
96074,Distal duplication 7p syndrome,"Antenatal, Neonatal",
96078,16p13.3 microduplication syndrome,"Infancy, Neonatal",
96069,Distal duplication 1p36 syndrome,"Infancy, Neonatal",
96068,Mosaic trisomy 22 syndrome,"Antenatal, Neonatal",
96071,Distal duplication 3p syndrome,"Antenatal, Neonatal",
96070,Distal duplication 2p syndrome,Neonatal,
96059,Mosaic trisomy 4 syndrome,"Antenatal, Neonatal",
96060,Mosaic trisomy 5 syndrome,"Antenatal, Neonatal",
96061,Mosaic trisomy 8 syndrome,"Antenatal, Infancy, Neonatal","Not applicable, Unknown"
96063,Mosaic trisomy 10 syndrome,"Antenatal, Neonatal",
95717,Idiopathic congenital hypothyroidism,"Infancy, Neonatal",
95719,Thyroid hemiagenesis,Neonatal,Not applicable
95720,Thyroid hypoplasia,"Infancy, Neonatal","Autosomal dominant, Not applicable"
96055,Tetrasomy 21 syndrome,"Antenatal, Infancy, Neonatal",
597623,IRF2BPL-related regressive neurodevelopmental disorder-dystonia-seizures syndrome,"Childhood, Infancy, Neonatal",Autosomal dominant
597733,Oculocutaneous albinism type 8,Childhood,Autosomal recessive
597738,Luscan-Lumish syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant
597887,ALPI-related inflammatory bowel disease,"Adolescent, Infancy",Autosomal recessive
597743,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,Neonatal,Autosomal dominant
597746,Blepharophimosis-intellectual disability syndrome/genitopatellar overlap syndrome,"Antenatal, Neonatal",
93552,Pediatric systemic lupus erythematosus,"Adolescent, Childhood, Infancy, Neonatal",Not applicable
597874,MTHFS-related developmental delay-microcephaly-short stature-epilepsy syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive
598603,Facial dysmorphism-hypertrichosis-epilepsy-intellectual disability/developmental delay-gingival overgrowth syndrome,"Childhood, Infancy, Neonatal",Autosomal dominant
598363,Multisystem inflammatory syndrome in children and adults,Childhood,
93571,Dense deposit disease,Childhood,Autosomal recessive
93568,Juvenile polymyositis,"Adolescent, Childhood",
597201,TRIM22-related inflammatory bowel disease,Neonatal,Autosomal recessive
93474,Scheie syndrome,"Adolescent, Adult, Childhood",Autosomal recessive
93476,Hurler-Scheie syndrome,"Infancy, Neonatal",Autosomal recessive
93473,Hurler syndrome,"Infancy, Neonatal",Autosomal recessive
93398,Genochondromatosis type 2,Childhood,
93400,Congenital sialidosis type 2,"Infancy, Neonatal",Autosomal recessive
599373,STXBP1-related encephalopathy,Neonatal,Autosomal dominant
93403,Syndactyly type 2,"Infancy, Neonatal",Autosomal dominant
599376,Hypomyelination of early myelinating structures,Infancy,X-linked dominant
93402,Syndactyly type 1,"Antenatal, Infancy, Neonatal",Autosomal dominant
93405,Syndactyly type 4,"Infancy, Neonatal",Autosomal dominant
93404,Syndactyly type 3,"Infancy, Neonatal",Autosomal dominant
599480,Acquired hemophilia A,"Adolescent, Adult, Childhood, Elderly",Not applicable
93406,Syndactyly type 5,"Infancy, Neonatal",Autosomal dominant
93409,"Brachydactyly-syndactyly, Zhao type","Infancy, Neonatal",Autosomal dominant
599513,Acquired factor XIII deficiency,"Adolescent, Adult, Childhood, Elderly",
93360,"Spondyloepimetaphyseal dysplasia with joint laxity, leptodactylic type","Infancy, Neonatal",Autosomal dominant
93358,Spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome,"Infancy, Neonatal",Autosomal recessive
93357,SPONASTRIME dysplasia,"Infancy, Neonatal",Autosomal recessive
599082,CHD3-related developmental delay-speech delay-intellectual disability-abnormalities of vision-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal dominant
93382,Brachydactyly type A6,"Infancy, Neonatal",Autosomal dominant
93383,Brachydactyly type B,Antenatal,Autosomal dominant
93387,Brachydactyly type E,Antenatal,Autosomal dominant
93388,Brachydactyly type A1,"Infancy, Neonatal",Autosomal dominant
93384,Brachydactyly type C,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
93396,Brachydactyly type A2,"Infancy, Neonatal",Autosomal dominant
93397,Brachydactyly type A7,"Infancy, Neonatal",
93394,Brachydactyly type A4,"Infancy, Neonatal",Autosomal dominant
595356,Localized dystrophic epidermolysis bullosa,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
93969,Open spinal dysraphism with a myelomeningocele,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable"
93958,Oromandibular dystonia,"Adolescent, Adult, Childhood, Elderly, Infancy",
94059,Uremic pruritus,"Adolescent, Adult, Childhood, Elderly",Not applicable
93976,Anotia,"Infancy, Neonatal",
93932,FG syndrome type 1,"Antenatal, Neonatal",X-linked recessive
93930,Classic bladder exstrophy,"Infancy, Neonatal",Multigenic/multifactorial
93928,Isolated epispadias,"Antenatal, Infancy, Neonatal",Multigenic/multifactorial
93929,Cloacal exstrophy,"Infancy, Neonatal",Multigenic/multifactorial
93926,Midline interhemispheric variant of holoprosencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable"
93924,Lobar holoprosencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable"
93925,Alobar holoprosencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable"
93953,Familial thyroglossal duct cyst,"Infancy, Neonatal",
93952,"X-linked intellectual disability, Hedera type",Infancy,X-linked recessive
595109,Atypical Timothy syndrome,"Antenatal, Neonatal",Autosomal dominant
595133,Perivascular epithelioid cell neoplasm,"Adolescent, Adult, Childhood, Elderly",
93950,"X-linked intellectual disability, Sutherland-Haan type","Antenatal, Infancy, Neonatal",X-linked recessive
595098,Timothy syndrome type 1,"Antenatal, Neonatal",Autosomal dominant
93947,"X-linked intellectual disability, Golabi-Ito-Hall type","Infancy, Neonatal",X-linked recessive
595105,Timothy syndrome type 2,"Antenatal, Neonatal",Autosomal dominant
93946,Hamel cerebro-palato-cardiac syndrome,"Infancy, Neonatal",X-linked recessive
93945,"X-linked intellectual disability, Porteous type",Infancy,X-linked recessive
93941,Laryngotracheoesophageal cleft type 4,"Infancy, Neonatal",
93940,Laryngotracheoesophageal cleft type 3,"Infancy, Neonatal",
93939,Laryngotracheoesophageal cleft type 2,"Infancy, Neonatal",
93938,Laryngotracheoesophageal cleft type 1,"Infancy, Neonatal",
93622,Dent disease type 1,Childhood,X-linked recessive
93623,Dent disease type 2,"Childhood, Infancy",X-linked recessive
93672,Juvenile dermatomyositis,"Adolescent, Childhood, Infancy",Not applicable
93591,Infantile nephronophthisis,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
93583,Congenital thrombotic thrombocytopenic purpura,"Adult, Childhood, Infancy, Neonatal",Autosomal recessive
93610,Distal renal tubular acidosis with anemia,"Infancy, Neonatal",Autosomal dominant
596759,Combined immunodeficiency due to RELA haploinsufficiency,Childhood,Autosomal dominant
93607,Autosomal recessive proximal renal tubular acidosis,Childhood,Autosomal recessive
596448,IgG4-related systemic disease,"Adolescent, Adult, Childhood, Elderly",Not applicable
93600,Primary hyperoxaluria type 3,"Childhood, Infancy",Autosomal recessive
93599,Primary hyperoxaluria type 2,Childhood,Autosomal recessive
93606,Nephrogenic syndrome of inappropriate antidiuresis,Childhood,X-linked recessive
93605,Bartter syndrome type 3,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
99094,Laubry-Pezzi syndrome,"Infancy, Neonatal",
99063,Shone complex,"Adult, Childhood, Infancy, Neonatal",
99125,Congenital total pulmonary venous return anomaly,Neonatal,Not applicable
99124,Congenital partial pulmonary venous return anomaly,"Adolescent, Adult, Childhood, Infancy",
99106,"Atrial septal defect, ostium primum type","Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable"
99105,"Atrial septal defect, sinus venosus type","Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable"
99104,"Atrial septal defect, coronary sinus type","Antenatal, Infancy, Neonatal",
99103,"Atrial septal defect, ostium secundum type","Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable"
99095,Congenital Gerbode defect,"Infancy, Neonatal",
592873,Acute transverse myelitis with anti-MOG antibodies,"Adolescent, Adult, Childhood, Elderly, Infancy",
99141,Lymphedema-posterior choanal atresia syndrome,Neonatal,Autosomal recessive
99329,"48,XYYY syndrome","Antenatal, Infancy, Neonatal",
99330,"49,XYYYY syndrome","Antenatal, Infancy, Neonatal",
99228,Mosaic monosomy X syndrome,"Antenatal, Childhood, Infancy, Neonatal",Not applicable
99324,Paternal uniparental disomy of chromosome 13 syndrome,"Antenatal, Neonatal",
99226,Monosomy X syndrome,"Antenatal, Childhood, Infancy, Neonatal",Not applicable
99179,Kandori fleck retina,"Adolescent, Adult, Childhood",
99172,Euryblepharon,Neonatal,Unknown
99657,"Primary dystonia, DYT2 type",Childhood,Autosomal recessive
99642,"Spondyloepimetaphyseal dysplasia, Handigodu type","Adolescent, Adult, Childhood",
99413,Turner syndrome due to structural X chromosome anomalies,"Antenatal, Childhood, Infancy, Neonatal",
99646,Metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria,"Childhood, Infancy, Neonatal",Not applicable
99688,Dermotrichic syndrome,Neonatal,
592574,Menke-Hennekam syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
592564,GNAO1-related developmental delay-seizures-movement disorder spectrum,"Childhood, Infancy, Neonatal",Autosomal dominant
592570,TRAF7-associated heart defect-digital anomalies-facial dysmorphism-motor and speech delay syndrome,"Antenatal, Neonatal",Autosomal dominant
99672,Fried's tooth and nail syndrome,"Antenatal, Infancy, Neonatal",
99718,Leber plus disease,"Adolescent, Adult, Childhood, Infancy",Mitochondrial inheritance
590539,Isolated melanotic schwannoma,"Adolescent, Adult, Childhood, Elderly",
99725,Pituitary gigantism,"Adolescent, Childhood, Infancy","Autosomal dominant, X-linked dominant"
589821,Congenital-onset Steinert myotonic dystrophy,"Antenatal, Neonatal",Autosomal dominant
589827,Juvenile-onset Steinert myotonic dystrophy,Childhood,Autosomal dominant
99701,Mesial temporal lobe epilepsy with hippocampal sclerosis,"Adolescent, Adult, Childhood, Elderly, Infancy",
589824,Childhood-onset Steinert myotonic dystrophy,"Childhood, Infancy",Autosomal dominant
589905,PHIP-related behavioral problems-intellectual disability-obesity-dysmorphic features syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
589856,Choanal atresia-athelia-hypothyroidism-delayed puberty-short stature syndrome,Neonatal,Autosomal dominant
99710,Punctate acrokeratoderma freckle-like pigmentation,Childhood,
99749,Kostmann syndrome,Neonatal,Autosomal recessive
99734,Myotonia fluctuans,Childhood,Autosomal dominant
99731,Isolated sulfite oxidase deficiency,"Infancy, Neonatal",Autosomal recessive
99735,Myotonia permanens,Childhood,Autosomal dominant
99736,Acetazolamide-responsive myotonia,Childhood,Autosomal dominant
99741,King-Denborough syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
99742,Amish lethal microcephaly,"Antenatal, Infancy, Neonatal",Autosomal recessive
98820,Familial focal epilepsy with variable foci,"Adolescent, Adult, Childhood, Infancy",Autosomal dominant
98818,Landau-Kleffner syndrome,Childhood,"Autosomal dominant, Unknown"
98813,Hypohidrotic ectodermal dysplasia with immunodeficiency,"Infancy, Neonatal","Autosomal dominant, X-linked recessive"
98811,Paroxysmal exertion-induced dyskinesia,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Not applicable"
98810,Paroxysmal non-kinesigenic dyskinesia,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Not applicable"
98809,Paroxysmal kinesigenic dyskinesia,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Not applicable"
98808,Autosomal dominant dopa-responsive dystonia,Childhood,"Autosomal dominant, Not applicable"
98807,"Primary dystonia, DYT13 type","Adolescent, Childhood",Autosomal dominant
98831,Acute myeloid leukemia with 11q23 abnormalities,Childhood,
98826,Myelodysplastic neoplasm with low blasts,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable
98853,Autosomal dominant Emery-Dreifuss muscular dystrophy,Childhood,Autosomal dominant
98850,Aggressive systemic mastocytosis,"Adult, Antenatal, Elderly, Neonatal",Not applicable
589595,Mixed phenotype acute leukemia with t(v;11q23.3),"Adolescent, Adult, Childhood, Infancy",Not applicable
98869,Congenital dyserythropoietic anemia type I,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive
589618,Dystonia 28,"Childhood, Infancy",Autosomal dominant
589534,Mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2),"Adolescent, Adult, Childhood, Elderly",Not applicable
98863,X-linked Emery-Dreifuss muscular dystrophy,Childhood,X-linked recessive
589547,"GRIN2B-related developmental delay, intellectual disability and autism spectrum disorder","Childhood, Infancy, Neonatal",Autosomal dominant
589542,Myeloid/lymphoid neoplasm associated with JAK2 rearrangement,"Adolescent, Adult, Childhood, Elderly",
589442,Short stature-skeletal dysplasia-retinal degeneration-intellectual disability-sensorineural hearing loss syndrome,"Childhood, Infancy, Neonatal",Autosomal recessive
589435,Spondylometaphyseal dysplasia-corneal dystrophy syndrome,Neonatal,Autosomal recessive
589515,PUM1-associated developmental disability-ataxia-seizure syndrome,"Infancy, Neonatal",Autosomal dominant
98855,Autosomal recessive Emery-Dreifuss muscular dystrophy,Childhood,Autosomal recessive
98856,Charcot-Marie-Tooth disease type 2B1,Childhood,Autosomal recessive
98880,Familial afibrinogenemia,"Infancy, Neonatal",Autosomal recessive
98879,Hemophilia B,"Childhood, Infancy, Neonatal",X-linked recessive
98873,Congenital dyserythropoietic anemia type II,"Adolescent, Adult, Childhood, Elderly, Infancy, Neonatal",Autosomal recessive
98871,Transient erythroblastopenia of childhood,"Childhood, Infancy",
98878,Hemophilia A,"Childhood, Infancy, Neonatal",X-linked recessive
98897,Oculopharyngodistal myopathy,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive"
98895,Becker muscular dystrophy,"Adolescent, Adult, Childhood, Elderly",X-linked recessive
98896,Duchenne muscular dystrophy,Childhood,X-linked recessive
98902,Amish nemaline myopathy,Neonatal,Autosomal recessive
98889,Bilateral perisylvian polymicrogyria,"Antenatal, Infancy, Neonatal",Autosomal recessive
98890,Early-onset X-linked optic atrophy,Childhood,X-linked recessive
98893,Congenital muscular dystrophy type 1B,"Infancy, Neonatal",Autosomal recessive
98892,Periventricular nodular heterotopia,Childhood,"Autosomal dominant, Autosomal recessive, X-linked dominant"
98914,Presynaptic congenital myasthenic syndromes,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
98913,Postsynaptic congenital myasthenic syndrome,"Infancy, Neonatal",Autosomal recessive
98915,Synaptic congenital myasthenic syndrome,"Infancy, Neonatal",Autosomal recessive
98905,Congenital multicore myopathy with external ophthalmoplegia,"Infancy, Neonatal",Autosomal recessive
98907,Neutral lipid storage disease with ichthyosis,"Infancy, Neonatal",Autosomal recessive
98909,Desminopathy,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive"
98920,Spinal muscular atrophy with respiratory distress type 1,"Infancy, Neonatal",Autosomal recessive
98938,Colobomatous microphthalmia,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
98949,Complete cryptophthalmia,"Antenatal, Neonatal",
98950,Partial cryptophthalmia,"Antenatal, Neonatal",
98948,Congenital symblepharon,"Antenatal, Neonatal",
98957,Gelatinous drop-like corneal dystrophy,Childhood,Autosomal recessive
98955,Lisch epithelial corneal dystrophy,Childhood,X-linked dominant
98954,Meesmann corneal dystrophy,Childhood,Autosomal dominant
98963,Granular corneal dystrophy type II,Childhood,Autosomal dominant
98962,Granular corneal dystrophy type I,Childhood,Autosomal dominant
98961,Reis-Bücklers corneal dystrophy,Childhood,Autosomal dominant
98960,Thiel-Behnke corneal dystrophy,"Adolescent, Adult, Childhood",Autosomal dominant
98959,Subepithelial mucinous corneal dystrophy,Childhood,Autosomal dominant
98971,Posterior amorphous corneal dystrophy,"Infancy, Neonatal",Autosomal dominant
98972,Central cloudy dystrophy of François,Childhood,Autosomal dominant
98973,Posterior polymorphous corneal dystrophy,Childhood,Autosomal dominant
98976,Congenital glaucoma,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
98977,Juvenile glaucoma,"Adolescent, Childhood",Autosomal dominant
98978,Axenfeld anomaly,"Childhood, Infancy, Neonatal",Autosomal dominant
98988,Early-onset anterior polar cataract,"Infancy, Neonatal",Autosomal dominant
98990,Coralliform cataract,"Infancy, Neonatal",Autosomal dominant
98989,Cerulean cataract,Childhood,Autosomal dominant
98984,Pulverulent cataract,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
98985,Early-onset sutural cataract,"Infancy, Neonatal",Autosomal dominant
98995,Early-onset zonular cataract,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
98992,Early-onset partial cataract,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
98991,Early-onset nuclear cataract,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
98994,Total early-onset cataract,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
98993,Early-onset posterior polar cataract,"Infancy, Neonatal",Autosomal dominant
99013,Spastic paraplegia type 7,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive"
99014,X-linked Charcot-Marie-Tooth disease type 5,"Childhood, Infancy",X-linked recessive
99015,Spastic paraplegia type 2,Childhood,X-linked recessive
585867,Acute myeloid leukemia with t(9;22)(q34.1;q11.2),"Adolescent, Adult, Childhood, Elderly, Infancy, Neonatal",
585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,"Adolescent, Adult, Childhood, Elderly, Infancy",
585909,B-lymphoblastic leukemia/lymphoma with t(9;22)(q34.1;q11.2),"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable
585936,B-lymphoblastic leukemia/lymphoma with hyperdiploidy,"Adolescent, Adult, Childhood",
585942,B-lymphoblastic leukemia/lymphoma with hypodiploidy,"Adolescent, Adult, Childhood",
585918,B-lymphoblastic leukemia/lymphoma with t(v;11q23.3),"Adolescent, Adult, Childhood, Infancy",
585929,B-lymphoblastic leukemia/lymphoma with t(12;21)(p13.2;q22.1),"Adolescent, Adult, Childhood",
585956,B-lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3),"Adolescent, Adult, Childhood",
585948,B-lymphoblastic leukemia/lymphoma with t(5;14)(q31.1;q32.3),"Adolescent, Adult, Childhood",
99042,Congenitally uncorrected transposition of the great arteries with coarctation,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable"
99050,Abnormal origin of right or left pulmonary artery from the aorta,"Infancy, Neonatal",
98606,Syndromic orbital border hypoplasia,Neonatal,
98555,Microphthalmia-anophthalmia-coloboma,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
98676,Autosomal recessive isolated optic atrophy,"Childhood, Infancy, Neonatal",Autosomal recessive
98673,"Autosomal dominant optic atrophy, classic form","Adolescent, Adult, Childhood",Autosomal dominant
98672,Autosomal dominant optic atrophy,Childhood,Autosomal dominant
583595,"Serine biosynthesis pathway deficiency, infantile/juvenile form","Antenatal, Infancy, Neonatal",
98723,Hypoplastic right heart syndrome,Neonatal,
98686,Congenital trochlear nerve palsy,Neonatal,Not applicable
583097,Congenital infiltrating lipomatosis of the face,Neonatal,
98795,Angelman syndrome due to paternal uniparental disomy of chromosome 15,Infancy,
98794,Angelman syndrome due to maternal 15q11q13 deletion,Infancy,
98793,Prader-Willi syndrome due to paternal 15q11q13 deletion,"Antenatal, Neonatal",Autosomal dominant
98791,Alpha-thalassemia-intellectual disability syndrome linked to chromosome 16,"Infancy, Neonatal","Not applicable, Unknown"
98806,"Primary dystonia, DYT6 type","Adolescent, Adult, Childhood",Autosomal dominant
98784,Sleep-related hypermotor epilepsy,"Adolescent, Adult, Childhood",Autosomal dominant
98763,Spinocerebellar ataxia type 14,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
98766,Spinocerebellar ataxia type 5,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
98767,Spinocerebellar ataxia type 11,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
580940,QRICH1-related intellectual disability-chondrodysplasia syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
580933,Lethal brain and heart developmental defects,Antenatal,Autosomal recessive
98757,Spinocerebellar ataxia type 3,"Adult, Childhood",Autosomal dominant
98306,Familial partial lipodystrophy,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive"
576349,NLRC4-related familial cold autoinflammatory syndrome,"Childhood, Infancy",Autosomal dominant
576283,SATB2-associated syndrome due to a pathogenic variant,"Antenatal, Infancy, Neonatal",Autosomal dominant
576278,SATB2-associated syndrome,"Infancy, Neonatal",Autosomal dominant
573253,Split cord malformation type II,"Adolescent, Adult, Childhood, Infancy",
573278,Split cord malformation,"Adolescent, Adult, Childhood, Infancy",
572385,Brachydactyly type B1,Antenatal,Autosomal dominant
572361,Blepharophimosis-ptosis-epicanthus inversus syndrome type 2,Antenatal,Autosomal dominant
572428,Infantile-onset pulmonary alveolar proteinosis-hypogammaglobulinemia,Infancy,Autosomal dominant
98434,Hereditary combined deficiency of vitamin K-dependent clotting factors,"Adolescent, Adult, Infancy, Neonatal",Autosomal recessive
572543,RFVT2-related riboflavin transporter deficiency,"Childhood, Infancy",Autosomal recessive
572550,RFVT3-related riboflavin transporter deficiency,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
572773,Microcephaly-short stature-limb abnormalities syndrome,Antenatal,Autosomal recessive
572798,WARS2-related combined oxidative phosphorylation defect,"Infancy, Neonatal",Autosomal recessive
572761,DONSON-related microcephaly-short stature-limb abnormalities spectrum,"Antenatal, Neonatal",Autosomal recessive
