OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance
53,Albers-Schönberg osteopetrosis,Childhood,Autosomal dominant
14,Abetalipoproteinemia,"Childhood, Infancy",Autosomal recessive
167,Chédiak-Higashi syndrome,Childhood,Autosomal recessive
195,Cat-eye syndrome,"Antenatal, Neonatal",Not applicable
207,Crouzon syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
205,Crigler-Najjar syndrome,"Infancy, Neonatal",Autosomal recessive
160148,Cap polyposis,"Adolescent, Adult, Childhood, Elderly",Not applicable
192,Coffin-Lowry syndrome,"Childhood, Infancy, Neonatal",X-linked dominant
2442,X-linked lymphoproliferative disease,"Adolescent, Adult, Childhood, Infancy",X-linked recessive
169808,Mild hemophilia A,"Infancy, Neonatal",X-linked recessive
169802,Severe hemophilia A,"Infancy, Neonatal",X-linked recessive
169805,Moderate hemophilia A,"Infancy, Neonatal",X-linked recessive
562,McCune-Albright syndrome,Childhood,Not applicable
565,Menkes disease,Neonatal,X-linked recessive
474,Jeune syndrome,"Antenatal, Neonatal",Autosomal recessive
540,Familial hemophagocytic lymphohistiocytosis,"Adolescent, Infancy",Autosomal recessive
568,"Microphthalmia, Lenz type",Neonatal,X-linked recessive
564,Meckel syndrome,Antenatal,Autosomal recessive
289,Ellis Van Creveld syndrome,"Antenatal, Neonatal",Autosomal recessive
258,Laminin subunit alpha 2-related congenital muscular dystrophy,"Antenatal, Infancy, Neonatal",Autosomal recessive
112,Bartter syndrome,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
169464,Primary CD59 deficiency,"Infancy, Neonatal",Autosomal recessive
116,Beckwith-Wiedemann syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown"
87,Apert syndrome,"Antenatal, Neonatal",Autosomal dominant
97,Familial paroxysmal ataxia,Childhood,Autosomal dominant
313,Lamellar ichthyosis,Neonatal,"Autosomal dominant, Autosomal recessive"
169799,Mild hemophilia B,"Infancy, Neonatal",X-linked recessive
169796,Moderate hemophilia B,"Infancy, Neonatal",X-linked recessive
169793,Severe hemophilia B,"Infancy, Neonatal",X-linked recessive
999,Ermine phenotype,Neonatal,Autosomal recessive
171430,Severe congenital nemaline myopathy,"Infancy, Neonatal",Autosomal recessive
171433,Intermediate nemaline myopathy,Neonatal,"Autosomal dominant, Autosomal recessive"
171436,Typical nemaline myopathy,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
171439,Childhood-onset nemaline myopathy,Childhood,Autosomal dominant
55,Oculocutaneous albinism,Neonatal,Autosomal recessive
171607,X-linked spastic paraplegia type 34,"Adolescent, Adult, Childhood",X-linked recessive
2771,Bruck syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
171617,Autosomal dominant spastic paraplegia type 38,Childhood,Autosomal dominant
1349,Mitochondrial DNA-related cardiomyopathy and hearing loss,"Adult, Childhood",Mitochondrial inheritance
171622,Autosomal recessive spastic paraplegia type 32,Childhood,Autosomal recessive
171629,Autosomal recessive spastic paraplegia type 35,"Adolescent, Childhood",Autosomal recessive
861,Treacher-Collins syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
308,Progressive myoclonic epilepsy type 1,"Adolescent, Childhood",Autosomal recessive
199,Cornelia de Lange syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable, X-linked recessive"
2162,Holoprosencephaly,"Antenatal, Neonatal","Autosomal recessive, Multigenic/multifactorial, Not applicable, Oligogenic, X-linked dominant"
998,Albinism-deafness syndrome,Neonatal,X-linked recessive
169079,Cernunnos-XLF deficiency,"Infancy, Neonatal",Autosomal recessive
1716,Distal duplication 18q syndrome,"Antenatal, Neonatal",
1715,Trisomy 18p syndrome,"Adolescent, Adult, Childhood, Infancy",
3380,Trisomy 18 syndrome,"Antenatal, Neonatal","Not applicable, Unknown"
168984,CLAPO syndrome,"Antenatal, Infancy, Neonatal",Unknown
1707,Distal duplication 15q syndrome,"Antenatal, Neonatal",
3378,Trisomy 13 syndrome,"Antenatal, Neonatal","Not applicable, Unknown"
169100,Immunodeficiency due to CD25 deficiency,Infancy,Autosomal recessive
169090,Combined immunodeficiency due to CRAC channel dysfunction,"Infancy, Neonatal",Autosomal recessive
236,Trisomy 9p syndrome,"Antenatal, Neonatal",
169095,Severe combined immunodeficiency due to FOXN1 deficiency,"Infancy, Neonatal",Autosomal recessive
169082,Combined immunodeficiency due to CD3gamma deficiency,Infancy,Autosomal recessive
169085,Susceptibility to respiratory infections associated with CD8alpha chain mutation,"Infancy, Neonatal",Autosomal recessive
753,"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency","Adolescent, Childhood, Infancy, Neonatal",Autosomal recessive
868,Triose phosphate-isomerase deficiency,Neonatal,Autosomal recessive
218,Darier disease,"Adolescent, Adult, Childhood",Autosomal dominant
1465,Coffin-Siris syndrome,"Antenatal, Neonatal",Autosomal dominant
168782,Childhood disintegrative disorder,Childhood,Not applicable
1642,Distal deletion 9p syndrome,"Infancy, Neonatal",
1636,Distal monosomy 7q36 syndrome,"Antenatal, Neonatal",
1600,Monosomy 18q syndrome,"Antenatal, Neonatal",Autosomal dominant
1598,Monosomy 18p syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
168940,Chronic eosinophilic leukemia,"Adolescent, Adult, Childhood",Not applicable
2773,Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome,"Infancy, Neonatal",Unknown
2772,Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,"Antenatal, Neonatal",Autosomal recessive
626,Large/giant congenital melanocytic nevus,"Infancy, Neonatal",Multigenic/multifactorial
773,Adult Refsum disease,"Adolescent, Adult, Childhood",Autosomal recessive
11,Pentasomy X syndrome,Neonatal,
169154,T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency,Infancy,Autosomal recessive
169160,T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,Infancy,Autosomal recessive
385,Neurodegeneration with brain iron accumulation,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive, X-linked dominant"
169157,T-B+ severe combined immunodeficiency due to CD45 deficiency,Infancy,Autosomal recessive
1947,Northern epilepsy,Childhood,Autosomal recessive
169142,Recurrent infections due to specific granule deficiency,"Infancy, Neonatal",Autosomal recessive
352,Galactosemia,"Childhood, Infancy, Neonatal",Autosomal recessive
596,X-linked centronuclear myopathy,"Antenatal, Neonatal",X-linked recessive
610,Bethlem muscular dystrophy,"Childhood, Infancy","Autosomal dominant, Autosomal recessive"
169186,Autosomal recessive centronuclear myopathy,"Childhood, Infancy, Neonatal",Autosomal recessive
464,Incontinentia pigmenti,Neonatal,X-linked dominant
3307,Tetrasomy 18p syndrome,"Antenatal, Neonatal",Not applicable
169189,Autosomal dominant centronuclear myopathy,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal dominant
44,Neonatal adrenoleukodystrophy,"Childhood, Infancy, Neonatal",Autosomal recessive
56,Alkaptonuria,"Adult, Infancy",Autosomal recessive
963,Acromegaly,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable
1059,Blue rubber bleb nevus,Childhood,"Autosomal dominant, Not applicable"
1006,Alopecia antibody deficiency,"Childhood, Infancy",Unknown
1046,Lethal hemolytic anemia-genital anomalies syndrome,Neonatal,Unknown
22,Succinic semialdehyde dehydrogenase deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive
29,Mevalonic aciduria,"Childhood, Infancy, Neonatal",Autosomal recessive
245,Nager syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
30,Hereditary orotic aciduria,"Infancy, Neonatal",Autosomal recessive
36,Acrocallosal syndrome,"Antenatal, Neonatal",Autosomal recessive
915,Aarskog-Scott syndrome,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive"
2614,Nail-patella syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant
