OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,onset_score,rarity_weight,OMIM,MONDO,ICD-10,DisorderType
3157,Septo-optic dysplasia spectrum,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Multigenic/multifactorial, Not applicable",1,9,5.0,182230.0,8428.0,Q04.4,Malformation syndrome
3180,Spondylocamptodactyly syndrome,Neonatal,,3,8,7.0,600000.0,10801.0,Q87.5,Malformation syndrome
280210,"Pelizaeus-Merzbacher disease, connatal form","Infancy, Neonatal",X-linked recessive,2,8,7.0,312080.0,17221.0,E75.2,Clinical subtype
280219,"Pelizaeus-Merzbacher disease, classic form","Infancy, Neonatal",X-linked recessive,2,8,6.0,312080.0,17222.0,E75.2,Clinical subtype
280200,Microform holoprosencephaly,"Childhood, Infancy, Neonatal",Multigenic/multifactorial,2,8,4.0,610829.0,17219.0,Q04.2,Malformation syndrome
3177,Spinocerebellar degeneration-corneal dystrophy syndrome,"Childhood, Infancy",Autosomal recessive,2,7,7.0,271310.0,10063.0,G11.1,Malformation syndrome
3175,X-linked spasticity-intellectual disability-epilepsy syndrome,"Infancy, Neonatal",X-linked recessive,2,8,7.0,308350.0,17856.0,G25.3,Disease
280195,Septopreoptic holoprosencephaly,"Infancy, Neonatal",Multigenic/multifactorial,2,8,5.0,609637.0,,Q04.2,Clinical subtype
3172,Eyebrow duplication-syndactyly syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,227210.0,9200.0,Q87.8,Malformation syndrome
280183,Methylmalonic aciduria due to transcobalamin receptor defect,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,613646.0,13341.0,E71.1,Biological anomaly
280282,Pelizaeus-Merzbacher-like disease due to GJC2 mutation,"Infancy, Neonatal",Autosomal recessive,1,8,5.0,608804.0,12125.0,E75.2,Clinical subtype
280270,Pelizaeus-Merzbacher-like disease,"Infancy, Neonatal",Autosomal recessive,1,8,5.0,612233.0,17226.0,E75.2,Disease
280234,Null syndrome,Childhood,X-linked recessive,2,6,5.0,312080.0,17225.0,E75.2,Clinical subtype
1855,Spondyloenchondrodysplasia,Childhood,Autosomal recessive,2,6,7.0,607944.0,11939.0,Q77.7,Malformation syndrome
280224,"Pelizaeus-Merzbacher disease, transitional form","Infancy, Neonatal",X-linked recessive,2,8,7.0,312080.0,17223.0,E75.2,Clinical subtype
1797,Autosomal dominant spondylocostal dysostosis,No data available,Autosomal dominant,3,0,5.0,122600.0,15826.0,Q76.4,Malformation syndrome
280229,Pelizaeus-Merzbacher disease in female carriers,Adult,X-linked recessive,3,3,5.0,312080.0,17224.0,E75.2,Clinical subtype
276580,Autosomal dominant hyperinsulinism due to Kir6.2 deficiency,"Infancy, Neonatal",Autosomal dominant,2,8,5.0,601820.0,17185.0,E16.1,Disease
3258,Cenani-Lenz syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,212780.0,8931.0,Q78.4,Malformation syndrome
276575,Autosomal dominant hyperinsulinism due to SUR1 deficiency,"Infancy, Neonatal",Autosomal dominant,2,8,5.0,256450.0,17184.0,E16.1,Disease
276598,Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency,"Infancy, Neonatal",Autosomal recessive,1,8,5.0,256450.0,17187.0,E16.1,Disease
3262,Dobrow syndrome,"Antenatal, Infancy, Neonatal",,2,9,7.0,,17980.0,Q87.8,Malformation syndrome
276608,Non-insulinoma pancreatogenous hypoglycemia syndrome,Adult,"Autosomal dominant, Not applicable",3,3,5.0,,17189.0,E16.1,Disease
3265,Isolated humero-radial synostosis,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1,9,7.0,236400.0,7737.0,Q74.0,Morphological anomaly
276603,Diazoxide-resistant focal hyperinsulinism due to Kir6.2 deficiency,"Infancy, Neonatal",Autosomal recessive,1,8,5.0,601820.0,17188.0,E16.1,Disease
3266,Isolated humero-radio-ulnar synostosis,"Antenatal, Neonatal",Unknown,3,9,7.0,,17983.0,Q74.0,Morphological anomaly
276621,Sporadic pheochromocytoma/secreting paraganglioma,"Adolescent, Adult, Childhood",Not applicable,2,6,5.0,,17190.0,C74.1,Disease
3268,Radioulnar synostosis-microcephaly-scoliosis syndrome,"Antenatal, Neonatal",Unknown,3,9,7.0,603438.0,11320.0,Q87.5,Malformation syndrome
276630,Symptomatic form of Coffin-Lowry syndrome in female carriers,"Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable",2,9,5.0,300844.0,17193.0,Q87.0,Malformation syndrome
3270,Radioulnar synostosis-developmental delay-hypotonia syndrome,Neonatal,Unknown,3,8,7.0,266255.0,9952.0,Q87.8,Malformation syndrome
3275,Spondylocarpotarsal synostosis,"Childhood, Infancy",Autosomal recessive,2,7,7.0,272460.0,10094.0,Q76.4,Malformation syndrome
425,Apolipoprotein A-I deficiency,All ages,Autosomal dominant,3,4,7.0,604091.0,100189.0,E78.6,Disease
3291,Teebi-Shaltout syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,272950.0,10101.0,Q82.4,Malformation syndrome
3293,Telecanthus-hypertelorism-strabismus-pes cavus syndrome,Neonatal,Unknown,3,8,7.0,,17997.0,Q87.8,Malformation syndrome
3292,Tel Hashomer camptodactyly syndrome,"Infancy, Neonatal",Unknown,2,8,7.0,211960.0,8901.0,Q74.0,Malformation syndrome
279882,Spasmus nutans,Infancy,Unknown,2,7,5.0,,17201.0,F98.4,Clinical syndrome
3294,Extensor tendons of finger anomalies,Neonatal,,3,8,7.0,187390.0,8540.0,Q74.0,Malformation syndrome
279888,Acute endophthalmitis,All ages,Not applicable,3,4,5.0,,17202.0,H44.1,Clinical subtype
279891,Chronic endophthalmitis,All ages,Not applicable,3,4,5.0,,17203.0,H44.1,Clinical subtype
279894,Toxic maculopathy due to antimalarial drugs,All ages,Not applicable,3,4,5.0,,17204.0,T37.2,Disease
3301,Tetraamelia-multiple malformations syndrome,"Antenatal, Infancy, Neonatal","Autosomal recessive, X-linked recessive",1,9,7.0,618021.0,10110.0,Q87.8,Malformation syndrome
279897,Primary oculocerebral lymphoma,Adult,Not applicable,3,3,5.0,,17205.0,C85.7,Disease
279904,OBSOLETE: Primary intraocular lymphoma,Adult,Not applicable,3,3,5.0,,4351.0,C85.7,Disease
3304,Fallot complex-intellectual disability-growth delay syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,601127.0,10999.0,Q87.8,Malformation syndrome
3312,Thalidomide embryopathy,"Antenatal, Neonatal",Not applicable,3,9,6.0,,18034.0,Q86.8,Malformation syndrome
279914,Intermediate uveitis,Childhood,Not applicable,2,6,5.0,,6806.0,H30.2,Disease
279919,Infectious posterior uveitis,All ages,,3,4,5.0,,17209.0,H32.0,Disease
276198,Spinocerebellar ataxia type 36,Adult,Autosomal dominant,3,3,5.0,614153.0,13594.0,G11.8,Disease
3225,Hearing loss-familial salivary gland insensitivity to aldosterone syndrome,"Infancy, Neonatal",,2,8,7.0,,17921.0,E34.8,Malformation syndrome
276193,Spinocerebellar ataxia type 35,"Adolescent, Adult",Autosomal dominant,3,5,7.0,613908.0,13485.0,G11.8,Disease
