OrphaCode,DiseaseName,GeneSymbol,GeneName,AssociationType,AssociationStatus
432,Normosmic congenital hypogonadotropic hypogonadism,FGF17,fibroblast growth factor 17,Disease-causing germline mutation(s) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,DUSP6,dual specificity phosphatase 6,Disease-causing germline mutation(s) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,SPRY4,sprouty RTK signaling antagonist 4,Disease-causing germline mutation(s) in,Assessed
91,Aromatase deficiency,CYP19A1,cytochrome P450 family 19 subfamily A member 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
785,Estrogen resistance syndrome,ESR1,estrogen receptor 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
873,Desmoid tumor,CTNNB1,catenin beta 1,Disease-causing somatic mutation(s) in,Assessed
873,Desmoid tumor,APC,APC regulator of Wnt signaling pathway,Disease-causing somatic mutation(s) in,Assessed
841,Sebocystomatosis,KRT17,keratin 17,Disease-causing germline mutation(s) in,Assessed
867,Familial multiple trichoepithelioma,CYLD,CYLD lysine 63 deubiquitinase,Disease-causing germline mutation(s) in,Assessed
735,Porokeratosis of Mibelli,MVK,mevalonate kinase,Disease-causing germline mutation(s) in,Assessed
735,Porokeratosis of Mibelli,PMVK,phosphomevalonate kinase,Disease-causing germline mutation(s) in,Assessed
497906,Childhood-onset basal ganglia degeneration syndrome,VAC14,VAC14 component of PIKFYVE complex,Disease-causing germline mutation(s) in,Assessed
659,Mutilating palmoplantar keratoderma with periorificial keratotic plaques,PERP,p53 apoptosis effector related to PMP22,Disease-causing germline mutation(s) in,Assessed
659,Mutilating palmoplantar keratoderma with periorificial keratotic plaques,MBTPS2,"membrane bound transcription factor peptidase, site 2",Disease-causing germline mutation(s) in,Assessed
659,Mutilating palmoplantar keratoderma with periorificial keratotic plaques,TRPV3,transient receptor potential cation channel subfamily V member 3,Disease-causing germline mutation(s) (gain of function) in,Assessed
523,Hereditary leiomyomatosis and renal cell cancer,FH,fumarate hydratase,Disease-causing germline mutation(s) in,Assessed
497757,MME-related autosomal dominant Charcot Marie Tooth disease type 2,MME,membrane metalloendopeptidase,Disease-causing germline mutation(s) (loss of function) in,Assessed
497764,Spinocerebellar ataxia type 43,MME,membrane metalloendopeptidase,Disease-causing germline mutation(s) in,Assessed
530,Lipoid proteinosis,ECM1,extracellular matrix protein 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
734,Alpha delta granule deficiency,GFI1B,growth factor independent 1B transcriptional repressor,Disease-causing germline mutation(s) in,Assessed
721,Gray platelet syndrome,NBEAL2,neurobeachin like 2,Disease-causing germline mutation(s) (loss of function) in,Assessed
722,Hypoplasminogenemia,PLG,plasminogen,Disease-causing germline mutation(s) in,Assessed
749,Congenital prekallikrein deficiency,KLKB1,kallikrein B1,Disease-causing germline mutation(s) in,Assessed
853,Fetal and neonatal alloimmune thrombocytopenia,ITGB3,integrin subunit beta 3,Major susceptibility factor in,Assessed
483,Congenital high-molecular-weight kininogen deficiency,KNG1,kininogen 1,Disease-causing germline mutation(s) in,Assessed
852,X-linked thrombocytopenia with normal platelets,WAS,WASP actin nucleation promoting factor,Disease-causing germline mutation(s) in,Assessed
465,Congenital plasminogen activator inhibitor type 1 deficiency,SERPINE1,serpin family E member 1,Disease-causing germline mutation(s) in,Assessed
143,Parathyroid carcinoma,CDC73,cell division cycle 73,Disease-causing somatic mutation(s) in,Assessed
786,Generalized glucocorticoid resistance syndrome,NR3C1,nuclear receptor subfamily 3 group C member 1,Disease-causing germline mutation(s) in,Assessed
334,Hereditary atrial fibrillation,PITX2,paired like homeodomain 2,Disease-causing germline mutation(s) (loss of function) in,Assessed
334,Hereditary atrial fibrillation,SCN5A,sodium voltage-gated channel alpha subunit 5,Disease-causing germline mutation(s) (gain of function) in,Assessed
334,Hereditary atrial fibrillation,GATA4,GATA binding protein 4,Disease-causing germline mutation(s) (loss of function) in,Assessed
334,Hereditary atrial fibrillation,KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2,Disease-causing germline mutation(s) (gain of function) in,Assessed
334,Hereditary atrial fibrillation,KCNJ2,potassium inwardly rectifying channel subfamily J member 2,Disease-causing germline mutation(s) (gain of function) in,Assessed
334,Hereditary atrial fibrillation,KCNQ1,potassium voltage-gated channel subfamily Q member 1,Disease-causing germline mutation(s) (gain of function) in,Assessed
334,Hereditary atrial fibrillation,NKX2-5,NK2 homeobox 5,Disease-causing germline mutation(s) (loss of function) in,Assessed
334,Hereditary atrial fibrillation,GJA5,gap junction protein alpha 5,Disease-causing germline mutation(s) in,Assessed
334,Hereditary atrial fibrillation,KCNJ3,potassium inwardly rectifying channel subfamily J member 3,Disease-causing germline mutation(s) in,Assessed
334,Hereditary atrial fibrillation,MYL4,myosin light chain 4,Disease-causing germline mutation(s) in,Assessed
334,Hereditary atrial fibrillation,TTN,titin,Major susceptibility factor in,Assessed
334,Hereditary atrial fibrillation,SCN4B,sodium voltage-gated channel beta subunit 4,Disease-causing germline mutation(s) in,Assessed
334,Hereditary atrial fibrillation,KCNA5,potassium voltage-gated channel subfamily A member 5,Disease-causing germline mutation(s) (loss of function) in,Assessed
334,Hereditary atrial fibrillation,NUP155,nucleoporin 155,Disease-causing germline mutation(s) (loss of function) in,Assessed
334,Hereditary atrial fibrillation,NPPA,natriuretic peptide A,Disease-causing germline mutation(s) in,Assessed
334,Hereditary atrial fibrillation,SCN3B,sodium voltage-gated channel beta subunit 3,Disease-causing germline mutation(s) (loss of function) in,Assessed
334,Hereditary atrial fibrillation,GATA6,GATA binding protein 6,Disease-causing germline mutation(s) (loss of function) in,Assessed
334,Hereditary atrial fibrillation,GATA5,GATA binding protein 5,Disease-causing germline mutation(s) (loss of function) in,Assessed
334,Hereditary atrial fibrillation,SCN2B,sodium voltage-gated channel beta subunit 2,Disease-causing germline mutation(s) (loss of function) in,Assessed
334,Hereditary atrial fibrillation,KCNJ5,potassium inwardly rectifying channel subfamily J member 5,Disease-causing germline mutation(s) in,Assessed
615,Familial atrial myxoma,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,Disease-causing germline mutation(s) in,Assessed
498497,Short rib-polydactyly syndrome type 5,WDR35,WD repeat domain 35,Disease-causing germline mutation(s) (loss of function) in,Assessed
498693,MYBPC1-related autosomal recessive non-lethal arthrogryposis multiplex congenita syndrome,MYBPC1,myosin binding protein C1,Disease-causing germline mutation(s) in,Assessed
444,Marie Unna hereditary hypotrichosis,EPS8L3,EPS8 signaling adaptor L3,Disease-causing germline mutation(s) in,Assessed
444,Marie Unna hereditary hypotrichosis,HR,HR lysine demethylase and nuclear receptor corepressor,Disease-causing germline mutation(s) in,Assessed
498481,LRP5-related primary osteoporosis,LRP5,LDL receptor related protein 5,Disease-causing germline mutation(s) in,Assessed
498481,LRP5-related primary osteoporosis,LRP5,LDL receptor related protein 5,Major susceptibility factor in,Assessed
573,Monilethrix,KRT86,keratin 86,Disease-causing germline mutation(s) in,Assessed
573,Monilethrix,KRT83,keratin 83,Disease-causing germline mutation(s) in,Assessed
573,Monilethrix,KRT81,keratin 81,Disease-causing germline mutation(s) in,Assessed
573,Monilethrix,DSG4,desmoglein 4,Disease-causing germline mutation(s) in,Assessed
840,Syringocystadenoma papilliferum,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",Disease-causing somatic mutation(s) in,Assessed
498494,Mirror-image polydactyly,PITX1,paired like homeodomain 1,Role in the phenotype of,Assessed
384,Huriez syndrome,SMARCAD1,SNF2 related chromatin remodeling ATPase with DExD box 1,Disease-causing germline mutation(s) in,Assessed
41,Dyschromatosis symmetrica hereditaria,ADAR,adenosine deaminase RNA specific,Disease-causing germline mutation(s) in,Assessed
122,Birt-Hogg-Dubé syndrome,PRDM10,PR/SET domain 10,Disease-causing germline mutation(s) in,Assessed
122,Birt-Hogg-Dubé syndrome,FLCN,folliculin,Disease-causing germline mutation(s) in,Assessed
38,Acrokeratoelastoidosis of Costa,CCDC91,coiled-coil domain containing 91,Disease-causing germline mutation(s) in,Assessed
241,Dyschromatosis universalis hereditaria,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group),Disease-causing germline mutation(s) in,Assessed
316,Progressive symmetric erythrokeratodermia,TRPM4,transient receptor potential cation channel subfamily M member 4,Disease-causing germline mutation(s) (gain of function) in,Assessed
316,Progressive symmetric erythrokeratodermia,KRT83,keratin 83,Disease-causing germline mutation(s) (loss of function) in,Assessed
316,Progressive symmetric erythrokeratodermia,KDSR,3-ketodihydrosphingosine reductase,Disease-causing germline mutation(s) (loss of function) in,Assessed
